NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;;30;30;30;30;20;30;40;30;30;30;30;20;30
1;Los Locos ;1;27;;;;;;;;;;;;
2;Metea ; ;25;;;;;;;;;;;;
3;Martha Wainwrong ain't Right;1;27;;;;;;;;;;;;
4;KIPZ ;1;26;;;;;;;;;;;;
5;Paris Hilton Lookalikes ;1;28;;;;;;;;;;;;
6;Dilly Boys and a Girl ; ;19;;;;;;;;;;;;
7;Alles Of Niets; ;17;;;;;;;;;;;;
8;Goedkoop Zat in 't Halve Maantje ;1;28;;;;;;;;;;;;
9;The 4 sLEEpless horsemen of the apocalypse ;1;28;;;;;;;;;;;;
10;De Vierkante Meter ; ;21;;;;;;;;;;;;
11;De Cevisten ; ;21;;;;;;;;;;;;
12;Het Directieteam ; ;24;;;;;;;;;;;;
13;De Buis van Eustachius ; ;24;;;;;;;;;;;;
14;Chop Soy ; ;22;;;;;;;;;;;;
15;Asibille O ; ;20;;;;;;;;;;;;
16;Goe Vur In Den Otto ; ;23;;;;;;;;;;;;
17;Lou Reed in vélo ;1;24;;;;;;;;;;;;
18;De Stijlpaardroggen ; ;21;;;;;;;;;;;;
19;Nog Locos ;1;27;;;;;;;;;;;;
20;City Trash ; ;26;;;;;;;;;;;;
21;Garnizoen! ;1;28;;;;;;;;;;;;
22;The Bloodhound Gang Of Four ; ;22;;;;;;;;;;;;
23;De Tamme Impala's ; ;20;;;;;;;;;;;;
24;Agera Events ; ;17;;;;;;;;;;;;
25;Die Schmetterlinge ; ;22;;;;;;;;;;;;
26;Dolly Party ; ;24;;;;;;;;;;;;
27;Pohrebny Sluzba ; ;24;;;;;;;;;;;;
28;Scary Monsters ;1;29;;;;;;;;;;;;
29;De Popingers ;1;26;;;;;;;;;;;;
30;De Plankierkaarters ; ;29;;;;;;;;;;;;
31;Bruce Horny And The Rest ;1;28;;;;;;;;;;;;
32;De vleesgeworden genialiteit en aanverwante;;23;;;;;;;;;;;;
33;Sympathie vur den Duvel ;1;28;;;;;;;;;;;;
34;Chou and the Bollywood Havanas;;20;;;;;;;;;;;;
35;The Return of the Dolly Dots Dot Com ; ;22;;;;;;;;;;;;
36;Meer ego dan kennis ; ;23;;;;;;;;;;;;
37;Mississippi Queen ; ;24;;;;;;;;;;;;
38;Green Onions ;1;27;;;;;;;;;;;;
39;Charivari Avatar Homecoming ; ;20;;;;;;;;;;;;
40;Flying Foxes ; ;18;;;;;;;;;;;;
41;Rock Monsieur ;1;26;;;;;;;;;;;;
42;Zazawie ; ;21;;;;;;;;;;;;
43;Barbara Spreidstand ; ;17;;;;;;;;;;;;
44;Absolute Beginners ; ;18;;;;;;;;;;;;
45;Ron Jeremy Fanclub ; ;24;;;;;;;;;;;;
46;Jan, Piet, Joris en Sam Gooris ;1;28;;;;;;;;;;;;
47;The Quinto’s;;19;;;;;;;;;;;;
48;Herr Quenique ; ;23;;;;;;;;;;;;
49;Kust Ze ; ;19;;;;;;;;;;;;
50;Tequila Overdrive ;1;27;;;;;;;;;;;;
51;Family Soundsystem ; ;20;;;;;;;;;;;;
52;Vendredi Sport ; ;18;;;;;;;;;;;;
53;Team Destroy ; ;19;;;;;;;;;;;;
54;Shotgun ; ;19;;;;;;;;;;;;
55;Like a Harry Kane ; ;22;;;;;;;;;;;;
56;De Daisybelzen ; ;25;;;;;;;;;;;;
57;‘t Negende ; ;22;;;;;;;;;;;;
58;Stovrie Pride;;24;;;;;;;;;;;;
59;Zottegem Blues ; ;26;;;;;;;;;;;;
