NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;;30;30;30;30;20;30;40;30;30;30;30;20;140
1;Los Locos ;1;27;28;24;28;17;;;;;;;;124
2;Metea ; ;25;23;18;25;15;;;;;;;;106
3;Martha Wainwrong ain't Right;1;27;28;23;29;17;;;;;;;;124
4;KIPZ ;1;26;29;25;25;15;;;;;;;;120
5;Paris Hilton Lookalikes ;1;28;26;26;29;18;;;;;;;;127
6;Dilly Boys and a Girl ; ;19;22;13;25;11;;;;;;;;90
7;Alles Of Niets; ;17;19;13;16;8;;;;;;;;73
8;Goedkoop Zat in 't Halve Maantje ;1;28;27;23;28;19;;;;;;;;125
9;The 4 sLEEpless horsemen of the apocalypse ;1;28;28;24;28;17;;;;;;;;125
10;De Vierkante Meter ; ;21;18;13;17;11;;;;;;;;80
11;De Cevisten ; ;21;27;20;24;15;;;;;;;;107
12;Het Directieteam ; ;24;27;22;29;15;;;;;;;;117
13;De Buis van Eustachius ; ;24;22;21;28;19;;;;;;;;114
14;Chop Soy ; ;22;25;13;20;11;;;;;;;;91
15;Asibille O ; ;20;15;13;21;14;;;;;;;;83
16;Goe Vur In Den Otto ; ;23;27;20;21;12;;;;;;;;103
17;Lou Reed in velo ;1;24;24;19;26;15;;;;;;;;108
18;De Stijlpaardroggen ; ;21;15;14;14;8;;;;;;;;72
19;Nog Locos ;1;27;28;22;27;16;;;;;;;;120
20;City Trash ; ;26;21;18;24;15;;;;;;;;104
21;Garnizoen! ;1;28;30;24;28;18;;;;;;;;128
22;The Bloodhound Gang Of Four ; ;22;18;16;26;16;;;;;;;;98
23;De Tamme Impala's ; ;20;21;18;23;10;;;;;;;;92
24;Agera Events ; ;17;10;11;15;8;;;;;;;;61
25;Die Schmetterlinge ; ;22;26;15;27;13;;;;;;;;103
26;Dolly Party ; ;24;19;19;26;12;;;;;;;;100
27;Pohrebny Sluzba ; ;24;26;16;27;15;;;;;;;;108
28;Scary Monsters ;1;29;29;25;26;19;;;;;;;;128
29;De Popingers ;1;26;29;21;28;15;;;;;;;;119
30;De Plankierkaarters ; ;29;23;21;27;14;;;;;;;;114
31;Bruce Horny And The Rest ;1;28;30;23;29;19;;;;;;;;129
32;De vleesgeworden genialiteit en aanverwante;;23;23;15;23;14;;;;;;;;98
33;Sympathie vur den Duvel ;1;28;25;23;28;17;;;;;;;;121
34;Chou and the Bollywood Havanas;;20;14;15;17;14;;;;;;;;80
35;The Return of the Dolly Dots Dot Com ; ;22;16;14;22;11;;;;;;;;85
36;Meer ego dan kennis ; ;23;14;17;23;14;;;;;;;;91
37;Mississippi Queen ; ;24;22;19;27;16;;;;;;;;108
38;Green Onions ;1;27;27;22;28;17;;;;;;;;121
39;Charivari Avatar Homecoming ; ;20;24;12;25;15;;;;;;;;96
40;Flying Foxes ; ;18;20;14;26;11;;;;;;;;89
41;Rock Monsieur ;1;27;28;24;25;18;;;;;;;;122
42;Zazawie ; ;21;24;18;24;15;;;;;;;;102
43;Barbara Spreidstand ; ;17;21;19;22;16;;;;;;;;95
44;Absolute Beginners ; ;18;20;16;26;15;;;;;;;;95
45;Ron Jeremy Fanclub ; ;24;25;15;25;15;;;;;;;;104
46;Jan, Piet, Joris en Sam Gooris ;1;28;29;24;28;18;;;;;;;;127
47;The Quinto's;;19;15;12;11;13;;;;;;;;70
48;Herr Quenique ; ;23;24;19;28;17;;;;;;;;111
49;Kust Ze ; ;19;12;7;10;8;;;;;;;;56
50;Tequila Overdrive ;1;27;27;24;29;16;;;;;;;;123
51;Family Soundsystem ; ;20;17;17;16;13;;;;;;;;83
52;Vendredi Sport ; ;18;23;13;19;13;;;;;;;;86
53;Team Destroy ; ;19;13;13;17;11;;;;;;;;73
54;Shotgun ; ;19;14;15;27;13;;;;;;;;88
55;Like a Harry Kane ; ;22;18;18;18;16;;;;;;;;92
56;De Daisybelzen ; ;25;20;17;26;17;;;;;;;;105
57;t Negende ; ;22;22;14;21;12;;;;;;;;91
58;Stovrie Pride;;24;28;22;28;17;;;;;;;;119
59;Zottegem Blues ; ;26;13;16;22;15;;;;;;;;92
