NR;PLOEG;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;20;30;40;30;20;30;30;20;30;30;30;20;120
1;Scary Monsters;18;28;40;29;;;;;;;;;115
2;Rock Monsieur;17;28;36;27;;;;;;;;;108
3;Paris Hilton Lookalikes;14;30;34;29;;;;;;;;;107
4;Comfortably Dumb;14;27;25;25;;;;;;;;;91
5;Busty Springfield;11;28;29;29;;;;;;;;;97
6;Los Locos;14;27;28;29;;;;;;;;;98
7;Flying Foxes;13;28;23;24;;;;;;;;;88
8;City Trash;14;27;21;27;;;;;;;;;89
9;De Giraf;13;24;24;21;;;;;;;;;82
10;Bruce Horny & The Rest;19;28;36;30;;;;;;;;;113
11;Green Onions;15;26;34;23;;;;;;;;;98
12;Martha Wainwrong Ain't Right ;17;28;37;29;;;;;;;;;111
13;Koevoet Is Beter Dan Boullie;12;27;30;24;;;;;;;;;93
14;WMYA;15;27;17;27;;;;;;;;;86
15;Testedoene;15;28;32;25;;;;;;;;;100
16;Goedkoop Zat In 't Halve Maantje;17;26;28;27;;;;;;;;;98
17;The 4 sLEEpless Horsemen Of The Apocalypse;16;28;31;29;;;;;;;;;104
18;Starbuk & Apollo;16;28;35;28;;;;;;;;;107
19;Car Comfort Solutions;5;27;18;18;;;;;;;;;68
20;De Plankierkaarters;14;29;20;23;;;;;;;;;86
21;Zazawie;13;24;28;25;;;;;;;;;90
22;Vlassenbroek 2000;18;28;37;29;;;;;;;;;112
23;No ID;12;26;26;29;;;;;;;;;93
24;De Stijlpaardroggen;10;23;16;21;;;;;;;;;70
25;The Return of The Dolly Dots;12;24;20;24;;;;;;;;;80
26;Rode BMW staat fout geparkeerd;13;25;20;20;;;;;;;;;78
27;Silly Wommers;17;28;37;27;;;;;;;;;109
28;De Popingers ;13;27;30;22;;;;;;;;;92
29;Lou Reed in Velo;17;26;29;25;;;;;;;;;97
30;My Dying Pride;17;28;29;27;;;;;;;;;101
31;Cevisten;16;27;33;24;;;;;;;;;100
32;De vierkante meter;7;25;17;18;;;;;;;;;67
33;Drink Floyd;12;25;23;26;;;;;;;;;86
34;De Stimpy's;15;27;33;30;;;;;;;;;105
35;De Prinsen Der Duisternis;9;27;23;28;;;;;;;;;87
36;Tequila Overdrive;16;26;37;26;;;;;;;;;105
37;De buis van Eustachius;17;17;34;28;;;;;;;;;96
38;Franca Xapa;18;28;35;28;;;;;;;;;109
39;Zootje Ongeregeld;16;28;31;28;;;;;;;;;103
40;A Tribe Called Wuk Est?;17;28;34;28;;;;;;;;;107
41;Pietboef Mipus Mipus;7;13;11;22;;;;;;;;;53
42;Dead Daisy Smiles ft. Baldwin;11;24;24;23;;;;;;;;;82
43;Klein Zottegem;14;21;20;26;;;;;;;;;81
44;De Hertenkoppen;0;0;0;0;;;;;;;;;0
45;Floyd;12;19;16;22;;;;;;;;;69
46;Nuns & Mozes;13;26;17;23;;;;;;;;;79
47;Dawetekiknie;3;18;16;19;;;;;;;;;56
48;Freddie Vedder;9;21;14;23;;;;;;;;;67
49;De Vleesgeworden Genialiteit en Aanverwante;16;28;28;26;;;;;;;;;98
50;Barbara Spreidstand;13;20;20;26;;;;;;;;;79
51;Voor Spek En Zonen;8;21;16;15;;;;;;;;;60
52;De Gierende Bandjes;3;22;10;16;;;;;;;;;51
53;The Bet;8;26;20;22;;;;;;;;;76
54;De Holvoetjes;9;23;19;24;;;;;;;;;75
55;Die Schmetterlinge;15;21;15;25;;;;;;;;;76
