NR;PLOEG;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;20;30;40;30;20;30;30;20;30;30;30;20;50
1;Scary Monsters;18;28;40;;;;;;;;;;86
2;Rock Monsieur;17;28;35;;;;;;;;;;80
3;Paris Hilton Lookalikes;14;30;33;;;;;;;;;;77
4;Comfortably Dumb;14;27;25;;;;;;;;;;66
5;Busty Springfield;11;28;29;;;;;;;;;;68
6;Los Locos;14;27;28;;;;;;;;;;69
7;Flying Foxes;13;28;23;;;;;;;;;;64
8;City Trash;14;27;21;;;;;;;;;;62
9;De Giraf;13;24;24;;;;;;;;;;61
10;Bruce Horny & The Rest;19;28;36;;;;;;;;;;83
11;Green Onions;15;26;33;;;;;;;;;;74
12;Martha Wainwrong Ain't Right ;17;28;37;;;;;;;;;;82
13;Koevoet Is Beter Dan Boullie;12;27;30;;;;;;;;;;69
14;WMYA;15;27;17;;;;;;;;;;59
15;Testedoene;15;28;32;;;;;;;;;;75
16;Goedkoop Zat In 't Halve Maantje;17;26;28;;;;;;;;;;71
17;The 4 sLEEpless Horsemen Of The Apocalypse;16;28;31;;;;;;;;;;75
18;Starbuk & Apollo;16;28;34;;;;;;;;;;78
19;Car Comfort Solutions;5;27;18;;;;;;;;;;50
20;De Plankierkaarters;14;29;19;;;;;;;;;;62
21;Zazawie;13;24;28;;;;;;;;;;65
22;Vlassenbroek 2000;18;28;37;;;;;;;;;;83
23;No ID;12;26;26;;;;;;;;;;64
24;De Stijlpaardroggen;10;23;16;;;;;;;;;;49
25;The Return of The Dolly Dots;12;24;20;;;;;;;;;;56
26;Rode BMW staat fout geparkeerd;13;25;20;;;;;;;;;;58
27;Silly Wommers;17;28;36;;;;;;;;;;81
28;De Popingers ;13;27;30;;;;;;;;;;70
29;Lou Reed in Velo;17;26;29;;;;;;;;;;72
30;My Dying Pride;17;28;29;;;;;;;;;;74
31;Cevisten;16;27;33;;;;;;;;;;76
32;De vierkante meter;7;25;17;;;;;;;;;;49
33;Drink Floyd;12;25;23;;;;;;;;;;60
34;De Stimpy's;15;27;33;;;;;;;;;;75
35;De Prinsen Der Duisternis;9;27;23;;;;;;;;;;59
36;Tequila Overdrive;16;26;36;;;;;;;;;;78
37;De buis van Eustachius;17;17;33;;;;;;;;;;67
38;Franca Xapa;18;28;35;;;;;;;;;;81
39;Zootje Ongeregeld;16;28;30;;;;;;;;;;74
40;A Tribe Called Wuk Est?;17;28;33;;;;;;;;;;78
41;Pietboef Mipus Mipus;7;13;11;;;;;;;;;;31
42;Dead Daisy Smiles ft. Baldwin;11;24;24;;;;;;;;;;59
43;Klein Zottegem;14;21;20;;;;;;;;;;55
44;De Hertenkoppen;0;0;0;;;;;;;;;;0
45;Floyd;12;19;16;;;;;;;;;;47
46;Nuns & Mozes;13;26;17;;;;;;;;;;56
47;Dawetekiknie;3;18;16;;;;;;;;;;37
48;Freddie Vedder;9;21;14;;;;;;;;;;44
49;De Vleesgeworden Genialiteit en Aanverwante;16;28;28;;;;;;;;;;72
50;Barbara Spreidstand;13;20;20;;;;;;;;;;53
51;Voor Spek En Zonen;8;21;16;;;;;;;;;;45
52;De Gierende Bandjes;3;22;10;;;;;;;;;;35
53;The Bet;8;26;20;;;;;;;;;;54
54;De Holvoetjes;9;23;19;;;;;;;;;;51
55;Die Schmetterlinge;15;21;15;;;;;;;;;;51
