NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;TOT.
;MAXIMUM;;30;30;30;30;30;30;30;30;40;30;30;90
1;Greatest Tits;1;27;28;30;;;;;;;;;85
2;De vierkante meter;;19;23;20;;;;;;;;;62
3;Los Locos;1;26;27;27;;;;;;;;;80
4;The 4 sLEEpless horsemen of the apocalypse;1;29;27;30;;;;;;;;;86
5;Paris Hilton Lookalikes;1;27;28;29;;;;;;;;;84
6;Directieteam;;24;25;27;;;;;;;;;76
7;1 man en 3 baardenkoppen;;24;25;23;;;;;;;;;72
8;De buis van Eustachius;1;25;26;30;;;;;;;;;81
9;Mississippi Queen;;24;24;22;;;;;;;;;70
10;De tamme impala's;;21;25;25;;;;;;;;;71
11;DJ Reynders en dergelijke meer;;14;24;21;;;;;;;;;59
12;Asibille O;;15;23;22;;;;;;;;;60
13;Schnippel Schnappel;;7;24;16;;;;;;;;;47
14;Formerly known as RJFC;;22;23;20;;;;;;;;;65
15;A.M. Club;;18;21;16;;;;;;;;;55
16;Zazawie;;19;24;27;;;;;;;;;70
17;Pol van mietses giete;;18;22;24;;;;;;;;;64
18;Die Schmetterlinge;;19;23;15;;;;;;;;;57
19;Green Onions ;1;20;24;21;;;;;;;;;65
20;Zottegem Blues;;18;24;24;;;;;;;;;66
21;Lou reed in vélo ;1;26;26;28;;;;;;;;;80
22;Fraeter ;;12;26;17;;;;;;;;;55
23;KIPZ;1;22;25;24;;;;;;;;;71
24;Scary Monsters ;1;28;28;30;;;;;;;;;86
25;Popingers ;1;21;25;28;;;;;;;;;74
26;Rock Monsieur;1;25;27;28;;;;;;;;;80
27;The Buddy's;1;22;27;27;;;;;;;;;76
28;METEA ;;23;23;19;;;;;;;;;65
29;Hond An De Loeze ;;17;21;18;;;;;;;;;56
30;Flying Foxes ;;18;24;21;;;;;;;;;63
31;Testedoene ;1;23;25;28;;;;;;;;;76
32;Judas Piest ;;17;20;18;;;;;;;;;55
33;The Red Team ;;14;25;21;;;;;;;;;60
34;No use for a name ;;12;23;18;;;;;;;;;53
35;Team Dink ;;15;21;18;;;;;;;;;54
36;De Stijlpaardroggen;;10;20;16;;;;;;;;;46
37;Barbara Spreidstand ;;14;18;18;;;;;;;;;50
38;Cool for cats;;17;22;24;;;;;;;;;63
39;Jan, Piet, Joris en Sam Gooris ;1;27;28;28;;;;;;;;;83
40;Camping Kubelia ;;23;23;24;;;;;;;;;70
41;De bevroren aperitiefhapjes;;13;22;17;;;;;;;;;52
42;Op zeep van hoge ;;8;24;22;;;;;;;;;54
43;City Trash ;;22;25;26;;;;;;;;;73
44;Vive Laweit ;;13;23;17;;;;;;;;;53
45;Cevisten ;;21;22;20;;;;;;;;;63
46;Volvo ;;8;14;15;;;;;;;;;37
47;De kombucha zuipers;;2;20;14;;;;;;;;;36
48;Aquaholics ;;22;26;23;;;;;;;;;71
49;Niets meer aan te doen ;;27;28;27;;;;;;;;;82
50;It's a Karen;;6;22;10;;;;;;;;;38
51;No ID ;1;28;26;27;;;;;;;;;81
52;Quiztnix ;;0;0;0;;;;;;;;;0
53;De beDweters ;;18;23;18;;;;;;;;;59
54;Avond zonder vrouwen ;;7;17;10;;;;;;;;;34
55;Rock Anzegem ;;7;20;16;;;;;;;;;43
56;Pearls For Pigs ;;6;21;19;;;;;;;;;46
57;Geertje is on sambatical leave ;;17;20;16;;;;;;;;;53
58;Quizzers in crime ;;18;21;22;;;;;;;;;61
59;Michiels Crew ;;16;22;22;;;;;;;;;60
60;4 pintjes en een bordje gemengd ;;18;21;21;;;;;;;;;60
61;Bloody Well Right;;11;19;16;;;;;;;;;46
62;Prefab 4 ;;22;25;25;;;;;;;;;72
63;A Line Of Shots;;23;23;27;;;;;;;;;73
64;Oude Zakken;;10;21;15;;;;;;;;;46
65;De Laatkomers;;5;18;12;;;;;;;;;35
