NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;TOT.
;MAXIMUM;;30;30;30;30;30;30;30;30;40;30;30;60
1;Greatest Tits;1;27;28;;;;;;;;;;55
2;De vierkante meter;;19;23;;;;;;;;;;42
3;Los Locos;1;26;27;;;;;;;;;;53
4;The 4 sLEEpless horsemen of the apocalypse;1;29;27;;;;;;;;;;56
5;Paris Hilton Lookalikes;1;27;28;;;;;;;;;;55
6;Directieteam;;24;25;;;;;;;;;;49
7;1 man en 3 baardenkoppen;;24;25;;;;;;;;;;49
8;De buis van Eustachius;1;25;26;;;;;;;;;;51
9;Mississippi Queen;;24;24;;;;;;;;;;48
10;De tamme impala's;;21;25;;;;;;;;;;46
11;DJ Reynders en dergelijke meer;;14;24;;;;;;;;;;38
12;Asibille O;;15;23;;;;;;;;;;38
13;Schnippel Schnappel;;7;24;;;;;;;;;;31
14;Formerly known as RJFC;;22;23;;;;;;;;;;45
15;A.M. Club;;18;21;;;;;;;;;;39
16;Zazawie;;19;24;;;;;;;;;;43
17;Pol van mietses giete;;18;22;;;;;;;;;;40
18;Die Schmetterlinge;;19;23;;;;;;;;;;42
19;Green Onions ;1;20;24;;;;;;;;;;44
20;Zottegem Blues;;18;24;;;;;;;;;;42
21;Lou reed in vélo ;1;26;26;;;;;;;;;;52
22;Fraeter ;;12;26;;;;;;;;;;38
23;KIPZ;1;22;25;;;;;;;;;;47
24;Scary Monsters ;1;28;28;;;;;;;;;;56
25;Popingers ;1;21;25;;;;;;;;;;46
26;Rock Monsieur;1;25;27;;;;;;;;;;52
27;The Buddy's;1;22;27;;;;;;;;;;49
28;METEA ;;23;23;;;;;;;;;;46
29;Hond An De Loeze ;;17;21;;;;;;;;;;38
30;Flying Foxes ;;18;24;;;;;;;;;;42
31;Testedoene ;1;23;25;;;;;;;;;;48
32;Judas Piest ;;17;20;;;;;;;;;;37
33;The Red Team ;;14;25;;;;;;;;;;39
34;No use for a name ;;12;23;;;;;;;;;;35
35;Team Dink ;;15;21;;;;;;;;;;36
36;De Stijlpaardroggen;;10;20;;;;;;;;;;30
37;Barbara Spreidstand ;;14;18;;;;;;;;;;32
38;Cool for cats;;17;22;;;;;;;;;;39
39;Jan, Piet, Joris en Sam Gooris ;1;27;28;;;;;;;;;;55
40;Camping Kubelia ;;23;23;;;;;;;;;;46
41;De bevroren aperitiefhapjes;;13;22;;;;;;;;;;35
42;Op zeep van hoge ;;8;24;;;;;;;;;;32
43;City Trash ;;22;25;;;;;;;;;;47
44;Vive Laweit ;;13;23;;;;;;;;;;36
45;Cevisten ;;21;22;;;;;;;;;;43
46;Volvo ;;8;14;;;;;;;;;;22
47;De kombucha zuipers;;2;20;;;;;;;;;;22
48;Aquaholics ;;22;26;;;;;;;;;;48
49;Niets meer aan te doen ;;27;28;;;;;;;;;;55
50;It's a Karen;;6;22;;;;;;;;;;28
51;No ID ;1;28;26;;;;;;;;;;54
52;Quiztnix ;;0;0;;;;;;;;;;0
53;De beDweters ;;18;23;;;;;;;;;;41
54;Avond zonder vrouwen ;;7;17;;;;;;;;;;24
55;Rock Anzegem ;;7;20;;;;;;;;;;27
56;Pearls For Pigs ;;6;21;;;;;;;;;;27
57;Geertje is on sambatical leave ;;17;20;;;;;;;;;;37
58;Quizzers in crime ;;18;21;;;;;;;;;;39
59;Michiels Crew ;;16;22;;;;;;;;;;38
60;4 pintjes en een bordje gemengd ;;18;21;;;;;;;;;;39
61;Bloody Well Right;;11;19;;;;;;;;;;30
62;Prefab 4 ;;22;25;;;;;;;;;;47
63;A Line Of Shots;;23;23;;;;;;;;;;46
64;Oude Zakken;;10;21;;;;;;;;;;31
65;De Laatkomers;;5;18;;;;;;;;;;23
