NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;TOT.
;MAXIMUM;;30;30;30;30;30;30;30;30;40;30;30;120
1;Greatest Tits;1;27;28;30;30;;;;;;;;115
2;De vierkante meter;;19;23;20;20;;;;;;;;82
3;Los Locos;1;26;27;27;26;;;;;;;;106
4;The 4 sLEEpless horsemen of the apocalypse;1;29;27;30;28;;;;;;;;114
5;Paris Hilton Lookalikes;1;27;28;29;30;;;;;;;;114
6;Directieteam;;24;25;27;28;;;;;;;;104
7;1 man en 3 baardenkoppen;;24;25;23;21;;;;;;;;93
8;De buis van Eustachius;1;25;26;30;28;;;;;;;;109
9;Mississippi Queen;;24;24;22;20;;;;;;;;90
10;De tamme impala's;;21;25;25;26;;;;;;;;97
11;DJ Reynders en dergelijke meer;;14;24;21;20;;;;;;;;79
12;Asibille O;;15;23;22;18;;;;;;;;78
13;Schnippel Schnappel;;7;24;16;15;;;;;;;;62
14;Formerly known as RJFC;;22;23;20;25;;;;;;;;90
15;A.M. Club;;18;21;16;11;;;;;;;;66
16;Zazawie;;19;24;27;25;;;;;;;;95
17;Pol van mietses giete;;18;22;24;25;;;;;;;;89
18;Die Schmetterlinge;;19;23;15;14;;;;;;;;71
19;Green Onions ;1;20;24;21;23;;;;;;;;88
20;Zottegem Blues;;18;24;24;19;;;;;;;;85
21;Lou reed in vélo ;1;26;26;28;27;;;;;;;;107
22;Fraeter ;;12;26;17;26;;;;;;;;81
23;KIPZ;1;22;25;24;23;;;;;;;;94
24;Scary Monsters ;1;28;28;30;28;;;;;;;;114
25;Popingers ;1;21;25;28;25;;;;;;;;99
26;Rock Monsieur;1;25;27;28;25;;;;;;;;105
27;The Buddy's;1;22;27;27;26;;;;;;;;102
28;METEA ;;23;23;19;23;;;;;;;;88
29;Hond An De Loeze ;;17;21;18;22;;;;;;;;78
30;Flying Foxes ;;18;24;21;24;;;;;;;;87
31;Testedoene ;1;23;25;28;27;;;;;;;;103
32;Judas Piest ;;17;20;18;20;;;;;;;;75
33;The Red Team ;;14;25;21;12;;;;;;;;72
34;No use for a name ;;12;23;18;8;;;;;;;;61
35;Team Dink ;;15;21;18;23;;;;;;;;77
36;De Stijlpaardroggen;;10;20;16;17;;;;;;;;63
37;Barbara Spreidstand ;;14;18;18;14;;;;;;;;64
38;Cool for cats;;17;22;24;22;;;;;;;;85
39;Jan, Piet, Joris en Sam Gooris ;1;27;28;28;30;;;;;;;;113
40;Camping Kubelia ;;23;23;24;29;;;;;;;;99
41;De bevroren aperitiefhapjes;;13;22;17;19;;;;;;;;71
42;Op zeep van hoge ;;8;24;22;23;;;;;;;;77
43;City Trash ;;22;25;26;19;;;;;;;;92
44;Vive Laweit ;;13;23;17;22;;;;;;;;75
45;Cevisten ;;21;22;20;28;;;;;;;;91
46;Volvo ;;8;14;15;13;;;;;;;;50
47;De kombucha zuipers;;2;20;14;9;;;;;;;;45
48;Aquaholics ;;22;26;23;24;;;;;;;;95
49;Niets meer aan te doen ;;27;28;27;26;;;;;;;;108
50;It's a Karen;;6;22;10;17;;;;;;;;55
51;No ID ;1;28;26;27;25;;;;;;;;106
52;Quiztnix ;;0;0;0;0;;;;;;;;0
53;De beDweters ;;18;23;18;21;;;;;;;;80
54;Avond zonder vrouwen ;;7;17;10;9;;;;;;;;43
55;Rock Anzegem ;;7;20;16;17;;;;;;;;60
56;Pearls For Pigs ;;6;21;19;23;;;;;;;;69
57;Geertje is on sambatical leave ;;17;20;16;20;;;;;;;;73
58;Quizzers in crime ;;18;21;22;20;;;;;;;;81
59;Michiels Crew ;;16;22;22;25;;;;;;;;85
60;4 pintjes en een bordje gemengd ;;18;21;21;26;;;;;;;;86
61;Bloody Well Right;;11;19;16;16;;;;;;;;62
62;Prefab 4 ;;22;25;25;27;;;;;;;;99
63;A Line Of Shots;;23;23;27;28;;;;;;;;101
64;Oude Zakken;;10;21;15;15;;;;;;;;61
65;De Laatkomers;;5;18;12;17;;;;;;;;52
