NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;TOT.
;MAXIMUM;;30;30;30;30;30;30;30;30;40;30;30;180
1;Greatest Tits;1;27;28;30;30;27;30;;;;;;172
2;De vierkante meter;;19;23;20;20;17;16;;;;;;115
3;Los Locos;1;26;27;27;26;26;30;;;;;;162
4;The 4 sLEEpless horsemen of the apocalypse;1;29;27;30;28;27;30;;;;;;171
5;Paris Hilton Lookalikes;1;27;28;29;30;27;30;;;;;;171
6;Directieteam;;24;25;27;28;27;30;;;;;;161
7;1 man en 3 baardenkoppen;;24;25;23;21;19;30;;;;;;142
8;De buis van Eustachius;1;25;26;30;28;27;30;;;;;;166
9;Mississippi Queen;;24;24;22;20;24;30;;;;;;144
10;De tamme impala's;;21;25;25;26;24;28;;;;;;149
11;DJ Reynders en dergelijke meer;;14;24;21;20;21;21;;;;;;121
12;Asibille O;;15;23;22;18;21;24;;;;;;123
13;Schnippel Schnappel;;7;24;16;15;25;24;;;;;;111
14;Formerly known as RJFC;;22;23;20;25;22;25;;;;;;137
15;A.M. Club;;18;21;16;11;20;22;;;;;;108
16;Zazawie;;19;24;27;25;20;29;;;;;;144
17;Pol van mietses giete;;18;22;24;25;23;26;;;;;;138
18;Die Schmetterlinge;;19;23;15;14;17;28;;;;;;116
19;Green Onions ;1;20;24;21;23;23;27;;;;;;138
20;Zottegem Blues;;18;24;24;19;22;28;;;;;;135
21;Lou reed in vélo ;1;26;26;28;27;23;30;;;;;;160
22;Fraeter ;;12;26;17;26;19;24;;;;;;124
23;KIPZ;1;23;25;25;23;26;26;;;;;;148
24;Scary Monsters ;1;28;28;30;28;25;30;;;;;;169
25;Popingers ;1;21;25;28;25;27;26;;;;;;152
26;Rock Monsieur;1;25;27;28;25;24;30;;;;;;159
27;The Buddy's;1;22;27;27;26;25;26;;;;;;153
28;METEA ;;23;23;19;23;21;25;;;;;;134
29;Hond An De Loeze ;;17;21;18;22;20;25;;;;;;123
30;Flying Foxes ;;18;24;21;24;22;22;;;;;;131
31;Testedoene ;1;23;25;28;27;23;28;;;;;;154
32;Judas Piest ;;17;20;18;20;17;22;;;;;;114
33;The Red Team ;;14;25;21;12;24;27;;;;;;123
34;No use for a name ;;12;23;18;8;17;22;;;;;;100
35;Team Dink ;;15;21;18;23;24;25;;;;;;126
36;De Stijlpaardroggen;;10;20;16;17;20;25;;;;;;108
37;Barbara Spreidstand ;;14;18;18;14;19;20;;;;;;103
38;Cool for cats;;17;22;24;22;24;28;;;;;;137
39;Jan, Piet, Joris en Sam Gooris ;1;27;28;28;30;27;30;;;;;;170
40;Camping Kubelia ;;23;23;24;29;23;20;;;;;;142
41;De bevroren aperitiefhapjes;;13;22;17;19;20;25;;;;;;116
42;Op zeep van hoge ;;8;24;22;23;20;27;;;;;;124
43;City Trash ;;22;25;26;19;22;30;;;;;;144
44;Vive Laweit ;;13;23;17;22;16;25;;;;;;116
45;Cevisten ;;21;22;20;28;24;27;;;;;;142
46;Volvo ;;8;14;15;13;17;12;;;;;;79
47;De kombucha zuipers;;2;20;14;9;15;15;;;;;;75
48;Aquaholics ;;22;26;23;24;25;28;;;;;;148
49;Niets meer aan te doen ;;27;28;27;26;25;30;;;;;;163
50;It's a Karen;;6;22;10;17;18;17;;;;;;90
51;No ID ;1;28;26;27;25;25;27;;;;;;158
52;Quiztnix ;;0;0;0;0;0;0;;;;;;0
53;De beDweters ;;18;23;18;21;20;25;;;;;;125
54;Avond zonder vrouwen ;;7;17;10;9;18;19;;;;;;80
55;Rock Anzegem ;;7;20;16;17;18;19;;;;;;97
56;Pearls For Pigs ;;6;21;19;23;19;23;;;;;;111
57;Geertje is on sambatical leave ;;17;20;16;20;18;22;;;;;;113
58;Quizzers in crime ;;18;21;22;20;21;28;;;;;;130
59;Michiels Crew ;;16;22;22;25;21;26;;;;;;132
60;4 pintjes en een bordje gemengd ;;18;21;21;26;21;25;;;;;;132
61;Bloody Well Right;;11;19;16;16;18;19;;;;;;99
62;Prefab 4 ;;22;25;25;27;26;25;;;;;;150
63;A Line Of Shots;;23;23;27;28;23;30;;;;;;154
64;Oude Zakken;;10;21;15;15;17;19;;;;;;97
65;De Laatkomers;;5;18;12;17;19;18;;;;;;89
