NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;TOT.
;MAXIMUM;;30;30;30;30;30;30;30;30;40;30;30;210
1;Greatest Tits;1;27;28;30;30;27;30;30;;;;;202
2;De vierkante meter;;19;23;20;20;17;16;23;;;;;138
3;Los Locos;1;26;27;27;26;26;30;29;;;;;191
4;The 4 sLEEpless horsemen of the apocalypse;1;29;27;30;28;27;30;30;;;;;201
5;Paris Hilton Lookalikes;1;27;28;29;30;27;30;29;;;;;200
6;Directieteam;;24;25;27;28;27;30;30;;;;;191
7;1 man en 3 baardenkoppen;;24;25;23;21;19;30;28;;;;;170
8;De buis van Eustachius;1;25;26;30;28;27;30;30;;;;;196
9;Mississippi Queen;;24;24;22;20;24;30;25;;;;;169
10;De tamme impala's;;21;25;25;26;24;28;26;;;;;175
11;DJ Reynders en dergelijke meer;;14;24;21;20;21;21;28;;;;;149
12;Asibille O;;15;23;22;18;21;24;23;;;;;146
13;Schnippel Schnappel;;7;24;16;15;25;24;24;;;;;135
14;Formerly known as RJFC;;22;23;20;25;22;25;27;;;;;164
15;A.M. Club;;18;21;16;11;20;22;25;;;;;133
16;Zazawie;;19;24;27;25;20;29;28;;;;;172
17;Pol van mietses giete;;18;22;24;25;23;26;29;;;;;167
18;Die Schmetterlinge;;19;23;15;14;17;28;28;;;;;144
19;Green Onions ;1;20;24;21;23;23;27;29;;;;;167
20;Zottegem Blues;;18;24;24;19;22;28;25;;;;;160
21;Lou reed in vélo ;1;26;26;28;27;23;30;29;;;;;189
22;Fraeter ;;12;26;17;26;19;24;28;;;;;152
23;KIPZ;1;23;25;25;23;26;26;29;;;;;177
24;Scary Monsters ;1;28;28;30;28;25;30;30;;;;;199
25;Popingers ;1;21;25;28;25;27;26;27;;;;;179
26;Rock Monsieur;1;25;27;28;25;24;30;29;;;;;188
27;The Buddy's;1;22;27;27;26;25;26;27;;;;;180
28;METEA ;;23;23;19;23;21;25;29;;;;;163
29;Hond An De Loeze ;;17;21;18;22;20;25;29;;;;;152
30;Flying Foxes ;;18;24;21;24;22;22;30;;;;;161
31;Testedoene ;1;23;25;28;27;23;28;30;;;;;184
32;Judas Piest ;;17;20;18;20;17;22;29;;;;;143
33;The Red Team ;;14;25;21;12;24;27;24;;;;;147
34;No use for a name ;;12;23;18;8;17;22;22;;;;;122
35;Team Dink ;;15;21;18;23;24;25;25;;;;;151
36;De Stijlpaardroggen;;10;20;16;17;20;25;21;;;;;129
37;Barbara Spreidstand ;;14;18;18;14;19;20;26;;;;;129
38;Cool for cats;;17;22;24;22;24;28;27;;;;;164
39;Jan, Piet, Joris en Sam Gooris ;1;27;28;28;30;27;30;30;;;;;200
40;Camping Kubelia ;;23;23;24;29;23;20;24;;;;;166
41;De bevroren aperitiefhapjes;;13;22;17;19;20;25;26;;;;;142
42;Op zeep van hoge ;;8;24;22;23;20;27;25;;;;;149
43;City Trash ;;22;25;26;19;22;30;20;;;;;164
44;Vive Laweit ;;13;23;17;22;16;25;23;;;;;139
45;Cevisten ;;21;22;20;28;24;27;26;;;;;168
46;Volvo ;;8;14;15;13;17;12;14;;;;;93
47;De kombucha zuipers;;2;20;14;9;15;15;20;;;;;95
48;Aquaholics ;;22;26;23;24;25;28;27;;;;;175
49;Niets meer aan te doen ;;27;28;27;26;25;30;30;;;;;193
50;It's a Karen;;6;22;10;17;18;17;23;;;;;113
51;No ID ;1;28;26;27;25;25;27;25;;;;;183
52;Quiztnix ;;0;0;0;0;0;0;0;;;;;0
53;De beDweters ;;18;23;18;21;20;25;28;;;;;153
54;Avond zonder vrouwen ;;7;17;10;9;18;19;14;;;;;94
55;Rock Anzegem ;;7;20;16;17;18;19;19;;;;;116
56;Pearls For Pigs ;;6;21;19;23;19;23;29;;;;;140
57;Geertje is on sambatical leave ;;17;20;16;20;18;22;23;;;;;136
58;Quizzers in crime ;;18;21;22;20;21;28;29;;;;;159
59;Michiels Crew ;;16;22;22;25;21;26;28;;;;;160
60;4 pintjes en een bordje gemengd ;;18;21;21;26;21;25;27;;;;;159
61;Bloody Well Right;;11;19;16;16;18;19;18;;;;;117
62;Prefab 4 ;;22;25;25;27;26;25;28;;;;;178
63;A Line Of Shots;;23;23;27;28;23;30;28;;;;;182
64;Oude Zakken;;10;21;15;15;17;19;17;;;;;114
65;De Laatkomers;;5;18;12;17;19;18;17;;;;;106
