NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;TOT.
;MAXIMUM;;30;30;30;30;30;30;30;30;40;30;30;150
1;Greatest Tits;1;27;28;30;30;27;;;;;;;142
2;De vierkante meter;;19;23;20;20;17;;;;;;;99
3;Los Locos;1;26;27;27;26;26;;;;;;;132
4;The 4 sLEEpless horsemen of the apocalypse;1;29;27;30;28;27;;;;;;;141
5;Paris Hilton Lookalikes;1;27;28;29;30;27;;;;;;;141
6;Directieteam;;24;25;27;28;27;;;;;;;131
7;1 man en 3 baardenkoppen;;24;25;23;21;19;;;;;;;112
8;De buis van Eustachius;1;25;26;30;28;27;;;;;;;136
9;Mississippi Queen;;24;24;22;20;24;;;;;;;114
10;De tamme impala's;;21;25;25;26;24;;;;;;;121
11;DJ Reynders en dergelijke meer;;14;24;21;20;21;;;;;;;100
12;Asibille O;;15;23;22;18;21;;;;;;;99
13;Schnippel Schnappel;;7;24;16;15;25;;;;;;;87
14;Formerly known as RJFC;;22;23;20;25;22;;;;;;;112
15;A.M. Club;;18;21;16;11;20;;;;;;;86
16;Zazawie;;19;24;27;25;20;;;;;;;115
17;Pol van mietses giete;;18;22;24;25;23;;;;;;;112
18;Die Schmetterlinge;;19;23;15;14;17;;;;;;;88
19;Green Onions ;1;20;24;21;23;23;;;;;;;111
20;Zottegem Blues;;18;24;24;19;22;;;;;;;107
21;Lou reed in vélo ;1;26;26;28;27;23;;;;;;;130
22;Fraeter ;;12;26;17;26;19;;;;;;;100
23;KIPZ;1;23;25;25;23;26;;;;;;;122
24;Scary Monsters ;1;28;28;30;28;25;;;;;;;139
25;Popingers ;1;21;25;28;25;27;;;;;;;126
26;Rock Monsieur;1;25;27;28;25;24;;;;;;;129
27;The Buddy's;1;22;27;27;26;25;;;;;;;127
28;METEA ;;23;23;19;23;21;;;;;;;109
29;Hond An De Loeze ;;17;21;18;22;20;;;;;;;98
30;Flying Foxes ;;18;24;21;24;22;;;;;;;109
31;Testedoene ;1;23;25;28;27;23;;;;;;;126
32;Judas Piest ;;17;20;18;20;17;;;;;;;92
33;The Red Team ;;14;25;21;12;24;;;;;;;96
34;No use for a name ;;12;23;18;8;17;;;;;;;78
35;Team Dink ;;15;21;18;23;24;;;;;;;101
36;De Stijlpaardroggen;;10;20;16;17;20;;;;;;;83
37;Barbara Spreidstand ;;14;18;18;14;19;;;;;;;83
38;Cool for cats;;17;22;24;22;24;;;;;;;109
39;Jan, Piet, Joris en Sam Gooris ;1;27;28;28;30;27;;;;;;;140
40;Camping Kubelia ;;23;23;24;29;23;;;;;;;122
41;De bevroren aperitiefhapjes;;13;22;17;19;20;;;;;;;91
42;Op zeep van hoge ;;8;24;22;23;20;;;;;;;97
43;City Trash ;;22;25;26;19;22;;;;;;;114
44;Vive Laweit ;;13;23;17;22;16;;;;;;;91
45;Cevisten ;;21;22;20;28;24;;;;;;;115
46;Volvo ;;8;14;15;13;17;;;;;;;67
47;De kombucha zuipers;;2;20;14;9;15;;;;;;;60
48;Aquaholics ;;22;26;23;24;25;;;;;;;120
49;Niets meer aan te doen ;;27;28;27;26;25;;;;;;;133
50;It's a Karen;;6;22;10;17;18;;;;;;;73
51;No ID ;1;28;26;27;25;25;;;;;;;131
52;Quiztnix ;;0;0;0;0;0;;;;;;;0
53;De beDweters ;;18;23;18;21;20;;;;;;;100
54;Avond zonder vrouwen ;;7;17;10;9;18;;;;;;;61
55;Rock Anzegem ;;7;20;16;17;18;;;;;;;78
56;Pearls For Pigs ;;6;21;19;23;19;;;;;;;88
57;Geertje is on sambatical leave ;;17;20;16;20;18;;;;;;;91
58;Quizzers in crime ;;18;21;22;20;21;;;;;;;102
59;Michiels Crew ;;16;22;22;25;21;;;;;;;106
60;4 pintjes en een bordje gemengd ;;18;21;21;26;21;;;;;;;107
61;Bloody Well Right;;11;19;16;16;18;;;;;;;80
62;Prefab 4 ;;22;25;25;27;26;;;;;;;125
63;A Line Of Shots;;23;23;27;28;23;;;;;;;124
64;Oude Zakken;;10;21;15;15;17;;;;;;;78
65;De Laatkomers;;5;18;12;17;19;;;;;;;71
