NR;PLOEG;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;20;30;40;30;20;30;30;20;30;30;30;20;140
1;Scary Monsters;18;28;40;29;18;;;;;;;;133
2;Rock Monsieur;17;28;36;27;19;;;;;;;;127
3;Paris Hilton Lookalikes;14;30;34;29;15;;;;;;;;122
4;Comfortably Dumb;14;27;25;25;10;;;;;;;;101
5;Busty Springfield;11;28;29;29;15;;;;;;;;112
6;Los Locos;14;27;28;29;14;;;;;;;;112
7;Flying Foxes;13;28;23;24;12;;;;;;;;100
8;City Trash;14;27;21;27;16;;;;;;;;105
9;De Giraf;13;24;24;21;13;;;;;;;;95
10;Bruce Horny & The Rest;19;28;36;30;20;;;;;;;;133
11;Green Onions;15;26;34;23;16;;;;;;;;114
12;Martha Wainwrong Ain't Right ;17;28;37;29;17;;;;;;;;128
13;Koevoet Is Beter Dan Boullie;12;27;30;24;11;;;;;;;;104
14;WMYA;15;27;17;27;16;;;;;;;;102
15;Testedoene;15;28;32;25;17;;;;;;;;117
16;Goedkoop Zat In 't Halve Maantje;17;26;28;27;15;;;;;;;;113
17;The 4 sLEEpless Horsemen Of The Apocalypse;16;28;31;29;18;;;;;;;;122
18;Starbuk & Apollo;16;28;35;28;17;;;;;;;;124
19;Car Comfort Solutions;5;27;18;18;10;;;;;;;;78
20;De Plankierkaarters;14;29;20;23;16;;;;;;;;102
21;Zazawie;13;24;28;25;11;;;;;;;;101
22;Vlassenbroek 2000;18;28;37;29;19;;;;;;;;131
23;No ID;12;26;26;29;20;;;;;;;;113
24;De Stijlpaardroggen;10;23;16;21;10;;;;;;;;80
25;The Return of The Dolly Dots;12;24;20;24;11;;;;;;;;91
26;Rode BMW staat fout geparkeerd;13;25;20;20;9;;;;;;;;87
27;Silly Wommers;17;28;37;27;16;;;;;;;;125
28;De Popingers ;13;27;30;22;16;;;;;;;;108
29;Lou Reed in Velo;17;26;29;25;17;;;;;;;;114
30;My Dying Pride;17;28;29;27;17;;;;;;;;118
31;Cevisten;16;27;33;24;14;;;;;;;;114
32;De vierkante meter;7;25;17;18;7;;;;;;;;74
33;Drink Floyd;12;25;23;26;12;;;;;;;;98
34;De Stimpy's;15;27;33;30;17;;;;;;;;122
35;De Prinsen Der Duisternis;9;27;23;28;13;;;;;;;;100
36;Tequila Overdrive;16;26;37;26;17;;;;;;;;122
37;De buis van Eustachius;17;17;34;28;10;;;;;;;;106
38;Franca Xapa;18;28;35;28;11;;;;;;;;120
39;Zootje Ongeregeld;16;28;31;28;14;;;;;;;;117
40;A Tribe Called Wuk Est?;17;28;34;28;14;;;;;;;;121
41;Pietboef Mipus Mipus;7;13;11;22;12;;;;;;;;65
42;Dead Daisy Smiles ft. Baldwin;11;24;24;23;10;;;;;;;;92
43;Klein Zottegem;14;21;20;26;14;;;;;;;;95
44;De Hertenkoppen;0;0;0;0;0;;;;;;;;0
45;Floyd;12;19;16;22;17;;;;;;;;86
46;Nuns & Mozes;13;26;17;23;13;;;;;;;;92
47;Dawetekiknie;3;18;16;19;13;;;;;;;;69
48;Freddie Vedder;9;21;14;23;8;;;;;;;;75
49;De Vleesgeworden Genialiteit en Aanverwante;16;28;28;26;12;;;;;;;;110
50;Barbara Spreidstand;13;20;20;26;12;;;;;;;;91
51;Voor Spek En Zonen;8;21;16;15;9;;;;;;;;69
52;De Gierende Bandjes;3;22;10;16;7;;;;;;;;58
53;The Bet;8;26;20;22;14;;;;;;;;90
54;De Holvoetjes;9;23;19;24;10;;;;;;;;85
55;Die Schmetterlinge;15;21;15;25;13;;;;;;;;89
