NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;;30;30;30;30;30;30;30;20;30;30;30;20;180
1;MeTeA ;;25;24;24;24;24;22;;;;;;;143
2;Paris Hilton Lookalikes ;1;29;26;28;26;28;24;;;;;;;161
3;Asibille O ;;22;15;20;14;11;13;;;;;;;95
4;Goe Vur In Den Otto ;;26;17;19;20;17;15;;;;;;;114
5;Valse Toon ;;12;6;10;8;9;9;;;;;;;54
6;De Vierkante Meter ;;23;13;18;16;13;15;;;;;;;98
7;Dilly Boys ;;22;8;22;19;20;17;;;;;;;108
8;Tequila Overdrive ;1;29;25;25;27;29;27;;;;;;;162
9;The 4 sLEEpless horsemen of the apocalypse ;1;26;27;26;26;27;25;;;;;;;157
10;"A Tribe Called ""Wuk Est?"" ";1;27;24;25;24;29;22;;;;;;;151
11;Los Locos ;1;26;28;28;28;26;25;;;;;;;161
12;Rock Monsieur ;1;27;25;26;24;25;23;;;;;;;150
13;Goedkoop Zat in 't Halve Maantje ;1;26;18;26;24;25;22;;;;;;;141
14;Bruce Horny & The Rest ;1;28;23;28;26;27;25;;;;;;;157
15;Martha Wainwrong Ain't Right ;1;30;25;24;27;29;23;;;;;;;158
16;De Buis van Eustachius ;1;27;24;26;22;20;24;;;;;;;143
17;Barbara Spreidstand ;;21;11;22;15;10;14;;;;;;;93
18;Scary Monsters ;1;30;27;28;27;30;23;;;;;;;165
19;The Holly's ;1;29;26;27;22;27;27;;;;;;;158
20;KIPZ ;1;25;21;24;24;19;23;;;;;;;136
21;De Popingers ;1;26;22;25;25;25;22;;;;;;;145
22;Hooray For Boobies ;;25;14;17;18;14;12;;;;;;;100
23;Ron Jeremy Fanclub ;;21;15;21;15;18;19;;;;;;;109
24;Lou reed in velo ;1;25;24;23;22;18;17;;;;;;;129
25;Ne Pas De Stoel ;;19;9;16;6;9;10;;;;;;;69
26;Agera Events ;;11;13;12;9;7;10;;;;;;;62
27;Green Onions ;1;25;19;23;25;24;23;;;;;;;139
28;Die Schmetterlinge ;;22;12;24;17;15;17;;;;;;;107
29;De Plankierkaarters ;;25;21;25;19;14;22;;;;;;;126
30;Mustafa Ndoage ;;20;14;24;19;18;15;;;;;;;110
31;Les Patrick Bruels ;;23;18;22;14;14;13;;;;;;;104
32;Nainggolan ;;20;18;19;21;21;20;;;;;;;119
33;De Vleesgeworden Genialiteit en Aanverwante ;;25;18;20;18;23;18;;;;;;;122
34;De Stimpy's ;1;29;26;26;27;24;23;;;;;;;155
35;Testedoene ;1;28;22;24;23;25;22;;;;;;;144
36;Absolute Beginners ;;23;15;18;17;20;16;;;;;;;109
37;Flying Foxes ;;24;13;19;15;22;13;;;;;;;106
38;Mizzfonky & the Paranoiacs ;;0;0;0;0;0;0;;;;;;;0
39;Sympathie vur den Duvel ;1;29;26;28;26;26;26;;;;;;;161
40;Garnizoen! ;1;28;26;25;23;26;22;;;;;;;150
41;City Trash ;;22;17;24;16;19;15;;;;;;;113
42;VZW Alarm ;;18;8;13;10;7;14;;;;;;;70
43;Chop Soy ;;19;16;17;18;16;16;;;;;;;102
44;Nine Inch Male ;;20;11;11;18;6;17;;;;;;;83
45;Bloody Well Right ;;11;22;21;19;20;11;;;;;;;104
46;FAQ DADDE ;;12;12;12;8;5;8;;;;;;;57
47;The Bloodhound Gang Of Four ;;24;12;21;17;13;19;;;;;;;106
48;Jan, Piet, Joris en Sam Gooris ;1;30;28;26;27;26;25;;;;;;;162
49;De Stijlpaardroggen ;;9;12;20;14;5;9;;;;;;;69
50;Team Destroy ;;18;11;13;14;13;14;;;;;;;83
51;Rock Rules ;;13;13;11;14;10;12;;;;;;;73
52;The return of the Dolly Dots dot com ;;11;17;20;16;13;12;;;;;;;89
53;Alles Of Niets ;;19;13;12;12;8;9;;;;;;;73
54;De Piazadora's ;;18;22;20;23;21;23;;;;;;;127
55;De Poppers ;;17;12;17;16;11;11;;;;;;;84
56;Het Directieteam ;;25;17;21;20;23;22;;;;;;;128
57;Cevisten ;;25;23;20;17;18;16;;;;;;;119
58;Chou and the Bollywood Havanas;;14;16;18;14;6;15;;;;;;;83
59;All Small Petes;;24;21;23;26;26;20;;;;;;;140
60;Spotless Giraffes ;;5;5;15;6;1;8;;;;;;;40
61;Niveau Nihil ;;9;9;12;7;5;7;;;;;;;49
62;De Daisybelzen ;;19;19;20;22;22;19;;;;;;;121
63;De Bende Van Twijfel ;;15;6;10;12;5;9;;;;;;;57
64;Vendredi Sport ;;17;10;16;13;9;14;;;;;;;79
65;Formerly Known As The Long Necked Nightingales ;;19;15;22;18;13;21;;;;;;;108
