NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;;30;30;30;30;20;30;40;30;30;30;30;20;120
1;Los Locos ;1;27;28;24;28;;;;;;;;;107
2;Metea ; ;25;23;18;25;;;;;;;;;91
3;Martha Wainwrong ain't Right;1;27;28;23;29;;;;;;;;;107
4;KIPZ ;1;26;29;25;25;;;;;;;;;105
5;Paris Hilton Lookalikes ;1;28;26;26;29;;;;;;;;;109
6;Dilly Boys and a Girl ; ;19;22;13;25;;;;;;;;;79
7;Alles Of Niets; ;17;19;13;16;;;;;;;;;65
8;Goedkoop Zat in 't Halve Maantje ;1;28;27;23;28;;;;;;;;;106
9;The 4 sLEEpless horsemen of the apocalypse ;1;28;28;24;28;;;;;;;;;108
10;De Vierkante Meter ; ;21;18;13;17;;;;;;;;;69
11;De Cevisten ; ;21;27;20;24;;;;;;;;;92
12;Het Directieteam ; ;24;27;22;29;;;;;;;;;102
13;De Buis van Eustachius ; ;24;22;21;28;;;;;;;;;95
14;Chop Soy ; ;22;25;13;20;;;;;;;;;80
15;Asibille O ; ;20;15;13;21;;;;;;;;;69
16;Goe Vur In Den Otto ; ;23;27;20;21;;;;;;;;;91
17;Lou Reed in velo ;1;24;24;19;26;;;;;;;;;93
18;De Stijlpaardroggen ; ;21;15;14;14;;;;;;;;;64
19;Nog Locos ;1;27;28;22;27;;;;;;;;;104
20;City Trash ; ;26;21;18;24;;;;;;;;;89
21;Garnizoen! ;1;28;30;24;28;;;;;;;;;110
22;The Bloodhound Gang Of Four ; ;22;18;16;26;;;;;;;;;82
23;De Tamme Impala's ; ;20;21;18;23;;;;;;;;;82
24;Agera Events ; ;17;10;11;15;;;;;;;;;53
25;Die Schmetterlinge ; ;22;26;15;27;;;;;;;;;90
26;Dolly Party ; ;24;19;19;26;;;;;;;;;88
27;Pohrebny Sluzba ; ;24;26;16;27;;;;;;;;;93
28;Scary Monsters ;1;29;29;25;26;;;;;;;;;109
29;De Popingers ;1;26;29;21;28;;;;;;;;;104
30;De Plankierkaarters ; ;29;23;20;27;;;;;;;;;99
31;Bruce Horny And The Rest ;1;28;30;23;29;;;;;;;;;110
32;De vleesgeworden genialiteit en aanverwante;;23;23;15;23;;;;;;;;;84
33;Sympathie vur den Duvel ;1;28;25;23;28;;;;;;;;;104
34;Chou and the Bollywood Havanas;;20;14;15;17;;;;;;;;;66
35;The Return of the Dolly Dots Dot Com ; ;22;16;14;22;;;;;;;;;74
36;Meer ego dan kennis ; ;23;14;17;23;;;;;;;;;77
37;Mississippi Queen ; ;24;22;19;27;;;;;;;;;92
38;Green Onions ;1;27;27;22;28;;;;;;;;;104
39;Charivari Avatar Homecoming ; ;20;24;12;25;;;;;;;;;81
40;Flying Foxes ; ;18;20;14;26;;;;;;;;;78
41;Rock Monsieur ;1;27;28;24;25;;;;;;;;;104
42;Zazawie ; ;21;24;18;24;;;;;;;;;87
43;Barbara Spreidstand ; ;17;21;19;22;;;;;;;;;79
44;Absolute Beginners ; ;18;20;16;26;;;;;;;;;80
45;Ron Jeremy Fanclub ; ;24;25;15;25;;;;;;;;;89
46;Jan, Piet, Joris en Sam Gooris ;1;28;29;24;28;;;;;;;;;109
47;The Quinto's;;19;15;12;11;;;;;;;;;57
48;Herr Quenique ; ;23;24;19;28;;;;;;;;;94
49;Kust Ze ; ;19;12;7;10;;;;;;;;;48
50;Tequila Overdrive ;1;27;27;24;29;;;;;;;;;107
51;Family Soundsystem ; ;20;17;17;16;;;;;;;;;70
52;Vendredi Sport ; ;18;23;13;19;;;;;;;;;73
53;Team Destroy ; ;19;13;13;17;;;;;;;;;62
54;Shotgun ; ;19;14;15;27;;;;;;;;;75
55;Like a Harry Kane ; ;22;18;18;18;;;;;;;;;76
56;De Daisybelzen ; ;25;20;17;26;;;;;;;;;88
57;t Negende ; ;22;22;14;21;;;;;;;;;79
58;Stovrie Pride;;24;28;22;28;;;;;;;;;102
59;Zottegem Blues ; ;26;13;16;22;;;;;;;;;77
