NR;PLOEG;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;20;30;40;30;20;30;30;20;30;30;30;20;50
1;Scary Monsters;18;28;;;;;;;;;;;46
2;Rock Monsieur;17;28;;;;;;;;;;;45
3;Paris Hilton Lookalikes;14;30;;;;;;;;;;;44
4;Comfortably Dumb;14;27;;;;;;;;;;;41
5;Busty Springfield;11;28;;;;;;;;;;;39
6;Los Locos;14;27;;;;;;;;;;;41
7;Flying Foxes;13;28;;;;;;;;;;;41
8;City Trash;14;27;;;;;;;;;;;41
9;De Giraf;13;24;;;;;;;;;;;37
10;Bruce Horny & The Rest;19;28;;;;;;;;;;;47
11;Green Onions;15;26;;;;;;;;;;;41
12;Martha Wainwrong Ain't Right ;17;28;;;;;;;;;;;45
13;Koevoet Is Beter Dan Boullie;12;27;;;;;;;;;;;39
14;WMYA;15;27;;;;;;;;;;;42
15;Testedoene;15;28;;;;;;;;;;;43
16;Goedkoop Zat In 't Halve Maantje;17;26;;;;;;;;;;;43
17;The 4 sLEEpless Horsemen Of The Apocalypse;16;28;;;;;;;;;;;44
18;Starbuk & Apollo;16;28;;;;;;;;;;;44
19;Car Comfort Solutions;5;27;;;;;;;;;;;32
20;De Plankierkaarters;14;29;;;;;;;;;;;43
21;Zazawie;13;24;;;;;;;;;;;37
22;Vlassenbroek 2000;18;28;;;;;;;;;;;46
23;No ID;12;26;;;;;;;;;;;38
24;De Stijlpaardroggen;10;23;;;;;;;;;;;33
25;The Return of The Dolly Dots;12;24;;;;;;;;;;;36
26;Rode BMW staat fout geparkeerd;13;25;;;;;;;;;;;38
27;Silly Wommers;17;28;;;;;;;;;;;45
28;De Popingers ;13;27;;;;;;;;;;;40
29;Lou Reed in Velo;17;26;;;;;;;;;;;43
30;My Dying Pride;17;28;;;;;;;;;;;45
31;Cevisten;16;27;;;;;;;;;;;43
32;De vierkante meter;7;25;;;;;;;;;;;32
33;Drink Floyd;12;25;;;;;;;;;;;37
34;De Stimpy's;15;27;;;;;;;;;;;42
35;De Prinsen Der Duisternis;9;27;;;;;;;;;;;36
36;Tequila Overdrive;16;26;;;;;;;;;;;42
37;De buis van Eustachius;17;17;;;;;;;;;;;34
38;Franca Xapa;18;28;;;;;;;;;;;46
39;Zootje Ongeregeld;16;28;;;;;;;;;;;44
40;A Tribe Called Wuk Est?;17;28;;;;;;;;;;;45
41;Pietboef Mipus Mipus;0;13;;;;;;;;;;;13
42;Dead Daisy Smiles ft. Baldwin;11;24;;;;;;;;;;;35
43;Klein Zottegem;14;21;;;;;;;;;;;35
44;De Hertenkoppen;0;0;;;;;;;;;;;0
45;Floyd;12;19;;;;;;;;;;;31
46;Nuns & Mozes;13;26;;;;;;;;;;;39
47;Dawetekiknie;3;18;;;;;;;;;;;21
48;Freddie Vedder;9;21;;;;;;;;;;;30
49;De Vleesgeworden Genialiteit en Aanverwante;16;28;;;;;;;;;;;44
50;Barbara Spreidstand;13;20;;;;;;;;;;;33
51;Voor Spek En Zonen;8;21;;;;;;;;;;;29
52;De Gierende Bandjes;3;22;;;;;;;;;;;25
53;The Bet;8;26;;;;;;;;;;;34
54;De Holvoetjes;9;23;;;;;;;;;;;32
55;Die Schmetterlinge;15;21;;;;;;;;;;;36
