NR;PLOEG;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;20;30;40;30;20;30;30;20;30;30;30;20;20
1;Scary Monsters;18;;;;;;;;;;;;18
2;Rock Monsieur;17;;;;;;;;;;;;17
3;Paris Hilton Lookalikes;14;;;;;;;;;;;;14
4;Comfortably Dumb;14;;;;;;;;;;;;14
5;Busty Springfield;11;;;;;;;;;;;;11
6;Los Locos;14;;;;;;;;;;;;14
7;Flying Foxes;13;;;;;;;;;;;;13
8;City Trash;14;;;;;;;;;;;;14
9;De Giraf;13;;;;;;;;;;;;13
10;Bruce Horny & The Rest;19;;;;;;;;;;;;19
11;Green Onions;15;;;;;;;;;;;;15
12;Martha Wainwrong Ain't Right ;17;;;;;;;;;;;;17
13;Koevoet Is Beter Dan Boullie;12;;;;;;;;;;;;12
14;WMYA;15;;;;;;;;;;;;15
15;Testedoene;15;;;;;;;;;;;;15
16;Goedkoop Zat In 't Halve Maantje;17;;;;;;;;;;;;17
17;The 4 sLEEpless Horsemen Of The Apocalypse;16;;;;;;;;;;;;16
18;Starbuk & Apollo;16;;;;;;;;;;;;16
19;Car Comfort Solutions;5;;;;;;;;;;;;5
20;De Plankierkaarters;14;;;;;;;;;;;;14
21;Zazawie;13;;;;;;;;;;;;13
22;Vlassenbroek 2000;18;;;;;;;;;;;;18
23;No ID;12;;;;;;;;;;;;12
24;De Stijlpaardroggen;10;;;;;;;;;;;;10
25;The Return of The Dolly Dots;12;;;;;;;;;;;;12
26;Rode BMW staat fout geparkeerd;13;;;;;;;;;;;;13
27;Silly Wommers;17;;;;;;;;;;;;17
28;De Popingers ;13;;;;;;;;;;;;13
29;Lou Reed in Velo;17;;;;;;;;;;;;17
30;My Dying Pride;17;;;;;;;;;;;;17
31;Cevisten;16;;;;;;;;;;;;16
32;De vierkante meter;7;;;;;;;;;;;;7
33;Drink Floyd;12;;;;;;;;;;;;12
34;De Stimpy's;15;;;;;;;;;;;;15
35;De Prinsen Der Duisternis;9;;;;;;;;;;;;9
36;Tequila Overdrive;16;;;;;;;;;;;;16
37;De buis van Eustachius;17;;;;;;;;;;;;17
38;Franca Xapa;18;;;;;;;;;;;;18
39;Zootje Ongeregeld;16;;;;;;;;;;;;16
40;A Tribe Called Wuk Est?;17;;;;;;;;;;;;17
41;Pietboef Mipus Mipus;0;;;;;;;;;;;;0
42;Dead Daisy Smiles ft. Baldwin;11;;;;;;;;;;;;11
43;Klein Zottegem;14;;;;;;;;;;;;14
44;De Hertenkoppen;;;;;;;;;;;;;0
45;Floyd;12;;;;;;;;;;;;12
46;Nuns & Mozes;13;;;;;;;;;;;;13
47;Dawetekiknie;3;;;;;;;;;;;;3
48;Freddie Vedder;9;;;;;;;;;;;;9
49;De Vleesgeworden Genialiteit en Aanverwante;16;;;;;;;;;;;;16
50;Barbara Spreidstand;13;;;;;;;;;;;;13
51;Voor Spek En Zonen;8;;;;;;;;;;;;8
52;De Gierende Bandjes;3;;;;;;;;;;;;3
53;The Bet;8;;;;;;;;;;;;8
54;De Holvoetjes;9;;;;;;;;;;;;9
55;Die Schmetterlinge;15;;;;;;;;;;;;15
