NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;;30;30;30;30;20;30;40;30;30;30;30;20;90
1;Los Locos ;1;27;28;24;;;;;;;;;;79
2;Metea ; ;25;23;18;;;;;;;;;;66
3;Martha Wainwrong ain't Right;1;27;28;23;;;;;;;;;;78
4;KIPZ ;1;26;29;25;;;;;;;;;;80
5;Paris Hilton Lookalikes ;1;28;26;26;;;;;;;;;;80
6;Dilly Boys and a Girl ; ;19;22;13;;;;;;;;;;54
7;Alles Of Niets; ;17;19;13;;;;;;;;;;49
8;Goedkoop Zat in 't Halve Maantje ;1;28;27;23;;;;;;;;;;78
9;The 4 sLEEpless horsemen of the apocalypse ;1;28;28;24;;;;;;;;;;80
10;De Vierkante Meter ; ;21;18;13;;;;;;;;;;52
11;De Cevisten ; ;21;27;20;;;;;;;;;;68
12;Het Directieteam ; ;24;27;22;;;;;;;;;;73
13;De Buis van Eustachius ; ;24;22;21;;;;;;;;;;67
14;Chop Soy ; ;22;25;13;;;;;;;;;;60
15;Asibille O ; ;20;15;13;;;;;;;;;;48
16;Goe Vur In Den Otto ; ;23;27;20;;;;;;;;;;70
17;Lou Reed in velo ;1;24;24;19;;;;;;;;;;67
18;De Stijlpaardroggen ; ;21;15;14;;;;;;;;;;50
19;Nog Locos ;1;27;28;22;;;;;;;;;;77
20;City Trash ; ;26;21;18;;;;;;;;;;65
21;Garnizoen! ;1;28;30;24;;;;;;;;;;82
22;The Bloodhound Gang Of Four ; ;22;18;16;;;;;;;;;;56
23;De Tamme Impala's ; ;20;21;18;;;;;;;;;;59
24;Agera Events ; ;17;10;11;;;;;;;;;;38
25;Die Schmetterlinge ; ;22;26;15;;;;;;;;;;63
26;Dolly Party ; ;24;19;19;;;;;;;;;;62
27;Pohrebny Sluzba ; ;24;26;16;;;;;;;;;;66
28;Scary Monsters ;1;29;29;25;;;;;;;;;;83
29;De Popingers ;1;26;29;21;;;;;;;;;;76
30;De Plankierkaarters ; ;29;23;20;;;;;;;;;;72
31;Bruce Horny And The Rest ;1;28;30;23;;;;;;;;;;81
32;De vleesgeworden genialiteit en aanverwante;;23;23;15;;;;;;;;;;61
33;Sympathie vur den Duvel ;1;28;25;23;;;;;;;;;;76
34;Chou and the Bollywood Havanas;;20;14;15;;;;;;;;;;49
35;The Return of the Dolly Dots Dot Com ; ;22;16;14;;;;;;;;;;52
36;Meer ego dan kennis ; ;23;14;17;;;;;;;;;;54
37;Mississippi Queen ; ;24;22;19;;;;;;;;;;65
38;Green Onions ;1;27;27;22;;;;;;;;;;76
39;Charivari Avatar Homecoming ; ;20;24;12;;;;;;;;;;56
40;Flying Foxes ; ;18;20;14;;;;;;;;;;52
41;Rock Monsieur ;1;26;28;24;;;;;;;;;;78
42;Zazawie ; ;21;24;18;;;;;;;;;;63
43;Barbara Spreidstand ; ;17;21;19;;;;;;;;;;57
44;Absolute Beginners ; ;18;20;16;;;;;;;;;;54
45;Ron Jeremy Fanclub ; ;24;25;15;;;;;;;;;;64
46;Jan, Piet, Joris en Sam Gooris ;1;28;29;24;;;;;;;;;;81
47;The Quinto's;;19;15;12;;;;;;;;;;46
48;Herr Quenique ; ;23;24;19;;;;;;;;;;66
49;Kust Ze ; ;19;12;7;;;;;;;;;;38
50;Tequila Overdrive ;1;27;27;24;;;;;;;;;;78
51;Family Soundsystem ; ;20;17;17;;;;;;;;;;54
52;Vendredi Sport ; ;18;23;13;;;;;;;;;;54
53;Team Destroy ; ;19;13;13;;;;;;;;;;45
54;Shotgun ; ;19;14;15;;;;;;;;;;48
55;Like a Harry Kane ; ;22;18;18;;;;;;;;;;58
56;De Daisybelzen ; ;25;20;17;;;;;;;;;;62
57;t Negende ; ;22;22;14;;;;;;;;;;58
58;Stovrie Pride;;24;28;22;;;;;;;;;;74
59;Zottegem Blues ; ;26;13;16;;;;;;;;;;55
