NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;;30;30;30;30;30;30;30;20;30;30;30;20;230
1;METEA;;25;24;24;24;24;22;25;14;;;;;182
2;Paris Hilton Lookalikes ;1;29;26;28;26;28;24;30;12;;;;;203
3;Asibille O ;;22;15;20;14;11;13;20;15;;;;;130
4;Goe Vur In Den Otto ;;26;17;19;20;17;15;22;16;;;;;152
5;Valse Toon ;;12;6;10;8;9;9;7;11;;;;;72
6;De Vierkante Meter ;;23;13;18;16;13;15;9;15;;;;;122
7;Dilly Boys ;;22;8;22;19;20;17;17;13;;;;;138
8;Tequila Overdrive ;1;29;25;25;27;29;27;30;16;;;;;208
9;The 4 sLEEpless horsemen of the apocalypse ;1;26;27;26;26;28;25;28;14;;;;;200
10;"A Tribe Called ""Wuk Est?"" ";1;27;24;25;24;29;22;28;18;;;;;197
11;Los Locos ;1;26;28;28;28;26;25;28;18;;;;;207
12;Rock Monsieur ;1;27;25;26;24;25;23;26;18;;;;;194
13;Goedkoop Zat in 't Halve Maantje ;1;26;18;26;24;25;22;26;15;;;;;182
14;Bruce Horny & The Rest ;1;28;23;28;26;27;25;27;10;;;;;194
15;Martha Wainwrong Ain't Right ;1;30;25;24;27;29;23;28;10;;;;;196
16;De Buis van Eustachius ;1;27;24;26;22;20;24;27;13;;;;;183
17;Barbara Spreidstand ;;21;11;22;15;10;14;20;16;;;;;129
18;Scary Monsters ;1;30;27;28;27;30;23;28;16;;;;;209
19;The Holly's ;1;29;26;27;22;27;27;28;6;;;;;192
20;KIPZ ;1;25;21;24;24;19;23;25;12;;;;;173
21;De Popingers ;1;26;22;25;25;25;22;27;13;;;;;185
22;Hooray For Boobies ;;25;14;17;18;14;12;21;18;;;;;139
23;Ron Jeremy Fanclub ;;21;15;21;15;18;19;18;14;;;;;141
24;Lou reed in velo ;1;25;24;23;22;18;17;25;13;;;;;167
25;Ne Pas De Stoel ;;19;9;16;6;9;10;15;12;;;;;96
26;Agera Events ;;11;13;12;9;7;10;14;12;;;;;88
27;Green Onions ;1;25;19;23;25;24;23;24;14;;;;;177
28;Die Schmetterlinge ;;22;12;24;17;15;17;23;17;;;;;147
29;De Plankierkaarters ;;25;21;25;19;14;22;27;16;;;;;169
30;Mustafa Ndoage ;;20;14;24;19;18;15;25;17;;;;;152
31;Les Patrick Bruels ;;23;18;22;14;14;13;20;18;;;;;142
32;Nainggolan ;;20;18;19;21;21;20;23;15;;;;;157
33;De Vleesgeworden Genialiteit en Aanverwante ;;25;18;20;18;23;18;24;15;;;;;161
34;De Stimpy's ;1;29;26;26;27;24;23;29;16;;;;;200
35;Testedoene ;1;28;22;24;23;25;22;21;10;;;;;175
36;Absolute Beginners ;;23;15;18;17;20;17;17;10;;;;;137
37;Flying Foxes ;;24;13;19;15;22;13;22;15;;;;;143
38;Mizzfonky & the Paranoiacs ;;0;0;0;0;0;0;0;0;;;;;0
39;Sympathie vur den Duvel ;1;29;26;28;26;26;26;27;12;;;;;200
40;Garnizoen! ;1;28;26;25;23;26;22;25;15;;;;;190
41;City Trash ;;22;17;24;16;19;15;23;18;;;;;154
42;VZW Alarm ;;18;8;13;10;7;14;18;14;;;;;102
43;Chop Soy ;;19;16;17;18;16;16;22;18;;;;;142
44;Nine Inch Male ;;20;11;11;18;6;17;14;11;;;;;108
45;Bloody Well Right ;;11;22;21;19;20;11;14;12;;;;;130
46;FAQ DADDE ;;12;12;12;8;5;8;17;18;;;;;92
47;The Bloodhound Gang Of Four ;;24;12;21;17;13;19;18;18;;;;;142
48;Jan, Piet, Joris en Sam Gooris ;1;30;28;26;27;26;25;28;15;;;;;205
49;De Stijlpaardroggen ;;9;12;20;14;5;9;15;12;;;;;96
50;Team Destroy ;;18;11;13;14;13;14;24;16;;;;;123
51;Rock Rules ;;13;13;11;14;10;12;13;13;;;;;99
52;The return of the Dolly Dots dot com ;;11;17;20;16;13;12;14;11;;;;;114
53;Alles Of Niets ;;19;13;12;12;8;9;19;14;;;;;106
54;De Piazadora's ;;18;22;20;23;21;23;24;13;;;;;164
55;De Poppers ;;17;12;17;16;11;11;8;15;;;;;107
56;Het Directieteam ;;25;17;21;20;23;22;26;14;;;;;168
57;Cevisten ;;25;23;20;17;18;16;18;14;;;;;151
58;Chou and the Bollywood Havanas;;14;16;18;14;6;15;18;16;;;;;117
59;All Small Petes;;24;21;23;26;26;20;22;14;;;;;176
60;Spotless Giraffes ;;5;5;15;6;1;8;14;11;;;;;65
61;Niveau Nihil ;;9;9;12;7;5;7;8;15;;;;;72
62;De Daisybelzen ;;19;19;20;22;22;19;22;13;;;;;156
63;De Bende Van Twijfel ;;15;6;10;12;5;9;14;15;;;;;86
64;Vendredi Sport ;;17;10;16;13;9;14;15;13;;;;;107
65;Formerly Known As The Long Necked Nightingales ;;19;15;22;18;13;21;15;16;;;;;139
