NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;;30;30;30;30;30;30;30;20;30;30;30;20;60
1;Metea ;;25;24;;;;;;;;;;;49
2;Paris Hilton Lookalikes ;1;28;26;;;;;;;;;;;54
3;Asibille O ;;22;15;;;;;;;;;;;37
4;Goe Vur In Den Otto ;;26;17;;;;;;;;;;;43
5;Valse Toon ;;12;6;;;;;;;;;;;18
6;De Vierkante Meter ;;23;13;;;;;;;;;;;36
7;Dilly Boys ;;22;8;;;;;;;;;;;30
8;Tequila Overdrive ;1;28;24;;;;;;;;;;;52
9;The 4 sLEEpless horsemen of the apocalypse ;1;24;27;;;;;;;;;;;51
10;"A Tribe Called ""Wuk Est?"" ";1;27;24;;;;;;;;;;;51
11;Los Locos ;1;26;28;;;;;;;;;;;54
12;Rock Monsieur ;1;23;25;;;;;;;;;;;48
13;Goedkoop Zat in 't Halve Maantje ;1;26;18;;;;;;;;;;;44
14;Bruce Horny & The Rest ;1;28;23;;;;;;;;;;;51
15;Martha Wainwrong Ain't Right ;1;30;24;;;;;;;;;;;54
16;De Buis van Eustachius ;1;27;24;;;;;;;;;;;51
17;Barbara Spreidstand ;;21;11;;;;;;;;;;;32
18;Scary Monsters ;1;30;27;;;;;;;;;;;57
19;The Holly's ;1;29;26;;;;;;;;;;;55
20;KIPZ ;1;25;21;;;;;;;;;;;46
21;De Popingers ;1;26;22;;;;;;;;;;;48
22;Hooray For Boobies ;;25;14;;;;;;;;;;;39
23;Ron Jeremy Fanclub ;;21;15;;;;;;;;;;;36
24;Lou reed in velo ;1;25;24;;;;;;;;;;;49
25;Ne Pas De Stoel ;;19;9;;;;;;;;;;;28
26;Agera Events ;;11;13;;;;;;;;;;;24
27;Green Onions ;1;25;19;;;;;;;;;;;44
28;Die Schmetterlinge ;;22;12;;;;;;;;;;;34
29;De Plankierkaarters ;;25;21;;;;;;;;;;;46
30;Mustafa Ndoage ;;20;14;;;;;;;;;;;34
31;Les Patrick Bruels ;;23;18;;;;;;;;;;;41
32;Nainggolan ;;20;18;;;;;;;;;;;38
33;De Vleesgeworden Genialiteit en Aanverwante ;;25;18;;;;;;;;;;;43
34;De Stimpy's ;1;29;25;;;;;;;;;;;54
35;Testedoene ;1;28;22;;;;;;;;;;;50
36;Absolute Beginners ;;23;15;;;;;;;;;;;38
37;Flying Foxes ;;24;13;;;;;;;;;;;37
38;Mizzfonky & the Paranoiacs ;;0;0;;;;;;;;;;;0
39;Sympathie vur den Duvel ;1;29;26;;;;;;;;;;;55
40;Garnizoen! ;1;28;26;;;;;;;;;;;54
41;City Trash ;;22;17;;;;;;;;;;;39
42;VZW Alarm ;;18;8;;;;;;;;;;;26
43;Chop Soy ;;19;16;;;;;;;;;;;35
44;Nine Inch Male ;;20;11;;;;;;;;;;;31
45;Bloody Well Right ;;11;22;;;;;;;;;;;33
46;FAQ DADDE ;;12;12;;;;;;;;;;;24
47;The Bloodhound Gang Of Four ;;24;12;;;;;;;;;;;36
48;Jan, Piet, Joris en Sam Gooris ;1;30;28;;;;;;;;;;;58
49;De Stijlpaardroggen ;;9;12;;;;;;;;;;;21
50;Team Destroy ;;18;11;;;;;;;;;;;29
51;Rock Rules ;;13;13;;;;;;;;;;;26
52;The return of the Dolly Dots dot com ;;11;17;;;;;;;;;;;28
53;Alles Of Niets ;;19;13;;;;;;;;;;;32
54;De Piazadora's ;;18;22;;;;;;;;;;;40
55;De Poppers ;;17;12;;;;;;;;;;;29
56;Het Directieteam ;;25;17;;;;;;;;;;;42
57;Cevisten ;;25;23;;;;;;;;;;;48
58;Chou and the Bollywood Havanas;;14;16;;;;;;;;;;;30
59;All Small Petes;;24;21;;;;;;;;;;;45
60;Spotless Giraffes ;;5;5;;;;;;;;;;;10
61;Niveau Nihil ;;9;9;;;;;;;;;;;18
62;De Daisybelzen ;;19;19;;;;;;;;;;;38
63;De Bende Van Twijfel ;;15;6;;;;;;;;;;;21
64;Vendredi Sport ;;17;10;;;;;;;;;;;27
65;Formerly Known As The Long Necked Nightingales ;;19;15;;;;;;;;;;;34
