NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;;30;30;30;30;30;30;30;20;30;30;30;20;90
1;Metea ;;25;24;24;;;;;;;;;;73
2;Paris Hilton Lookalikes ;1;28;26;28;;;;;;;;;;82
3;Asibille O ;;22;15;20;;;;;;;;;;57
4;Goe Vur In Den Otto ;;26;17;19;;;;;;;;;;62
5;Valse Toon ;;12;6;10;;;;;;;;;;28
6;De Vierkante Meter ;;23;13;18;;;;;;;;;;54
7;Dilly Boys ;;22;8;22;;;;;;;;;;52
8;Tequila Overdrive ;1;28;24;25;;;;;;;;;;77
9;The 4 sLEEpless horsemen of the apocalypse ;1;24;27;25;;;;;;;;;;76
10;"A Tribe Called ""Wuk Est?"" ";1;27;24;25;;;;;;;;;;76
11;Los Locos ;1;26;28;28;;;;;;;;;;82
12;Rock Monsieur ;1;23;25;26;;;;;;;;;;74
13;Goedkoop Zat in 't Halve Maantje ;1;26;18;26;;;;;;;;;;70
14;Bruce Horny & The Rest ;1;28;23;27;;;;;;;;;;78
15;Martha Wainwrong Ain't Right ;1;30;24;24;;;;;;;;;;78
16;De Buis van Eustachius ;1;27;24;26;;;;;;;;;;77
17;Barbara Spreidstand ;;21;11;22;;;;;;;;;;54
18;Scary Monsters ;1;30;27;27;;;;;;;;;;84
19;The Holly's ;1;29;26;27;;;;;;;;;;82
20;KIPZ ;1;25;21;24;;;;;;;;;;70
21;De Popingers ;1;26;22;25;;;;;;;;;;73
22;Hooray For Boobies ;;25;14;17;;;;;;;;;;56
23;Ron Jeremy Fanclub ;;21;15;21;;;;;;;;;;57
24;Lou reed in velo ;1;25;24;23;;;;;;;;;;72
25;Ne Pas De Stoel ;;19;9;16;;;;;;;;;;44
26;Agera Events ;;11;13;12;;;;;;;;;;36
27;Green Onions ;1;25;19;23;;;;;;;;;;67
28;Die Schmetterlinge ;;22;12;24;;;;;;;;;;58
29;De Plankierkaarters ;;25;21;25;;;;;;;;;;71
30;Mustafa Ndoage ;;20;14;24;;;;;;;;;;58
31;Les Patrick Bruels ;;23;18;22;;;;;;;;;;63
32;Nainggolan ;;20;18;19;;;;;;;;;;57
33;De Vleesgeworden Genialiteit en Aanverwante ;;25;18;20;;;;;;;;;;63
34;De Stimpy's ;1;29;25;26;;;;;;;;;;80
35;Testedoene ;1;28;22;24;;;;;;;;;;74
36;Absolute Beginners ;;23;15;18;;;;;;;;;;56
37;Flying Foxes ;;24;13;19;;;;;;;;;;56
38;Mizzfonky & the Paranoiacs ;;0;0;0;;;;;;;;;;0
39;Sympathie vur den Duvel ;1;29;26;28;;;;;;;;;;83
40;Garnizoen! ;1;28;26;25;;;;;;;;;;79
41;City Trash ;;22;17;24;;;;;;;;;;63
42;VZW Alarm ;;18;8;13;;;;;;;;;;39
43;Chop Soy ;;19;16;17;;;;;;;;;;52
44;Nine Inch Male ;;20;11;11;;;;;;;;;;42
45;Bloody Well Right ;;11;22;21;;;;;;;;;;54
46;FAQ DADDE ;;12;12;12;;;;;;;;;;36
47;The Bloodhound Gang Of Four ;;24;12;21;;;;;;;;;;57
48;Jan, Piet, Joris en Sam Gooris ;1;30;28;26;;;;;;;;;;84
49;De Stijlpaardroggen ;;9;12;20;;;;;;;;;;41
50;Team Destroy ;;18;11;13;;;;;;;;;;42
51;Rock Rules ;;13;13;11;;;;;;;;;;37
52;The return of the Dolly Dots dot com ;;11;17;20;;;;;;;;;;48
53;Alles Of Niets ;;19;13;12;;;;;;;;;;44
54;De Piazadora's ;;18;22;20;;;;;;;;;;60
55;De Poppers ;;17;12;17;;;;;;;;;;46
56;Het Directieteam ;;25;17;21;;;;;;;;;;63
57;Cevisten ;;25;23;20;;;;;;;;;;68
58;Chou and the Bollywood Havanas;;14;16;18;;;;;;;;;;48
59;All Small Petes;;24;21;23;;;;;;;;;;68
60;Spotless Giraffes ;;5;5;15;;;;;;;;;;25
61;Niveau Nihil ;;9;9;12;;;;;;;;;;30
62;De Daisybelzen ;;19;19;20;;;;;;;;;;58
63;De Bende Van Twijfel ;;15;6;10;;;;;;;;;;31
64;Vendredi Sport ;;17;10;16;;;;;;;;;;43
65;Formerly Known As The Long Necked Nightingales ;;19;15;22;;;;;;;;;;56
