NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;;30;30;30;30;30;30;30;20;20;30;30;20;250
1;METEA;;25;24;24;24;24;22;25;14;20;;;;202
2;Paris Hilton Lookalikes ;1;29;26;28;26;28;24;30;12;18;;;;221
3;Asibille O ;;22;15;20;14;11;13;20;15;15;;;;145
4;Goe Vur In Den Otto ;;26;17;19;20;17;15;22;16;15;;;;167
5;Valse Toon ;;12;6;10;8;9;9;7;11;6;;;;78
6;De Vierkante Meter ;;23;13;18;16;13;15;9;15;16;;;;138
7;Dilly Boys ;;22;8;22;19;20;17;17;13;8;;;;146
8;Tequila Overdrive ;1;29;25;25;27;29;27;30;16;18;;;;226
9;The 4 sLEEpless horsemen of the apocalypse ;1;26;27;26;26;28;25;28;14;19;;;;219
10;"A Tribe Called ""Wuk Est?"" ";1;27;24;25;24;29;22;28;18;13;;;;210
11;Los Locos ;1;26;28;28;28;26;25;28;18;20;;;;227
12;Rock Monsieur ;1;27;25;26;24;25;23;26;18;16;;;;210
13;Goedkoop Zat in 't Halve Maantje ;1;26;18;26;24;25;22;26;15;18;;;;200
14;Bruce Horny & The Rest ;1;28;23;28;26;27;25;27;10;20;;;;214
15;Martha Wainwrong Ain't Right ;1;30;25;24;27;29;23;28;10;18;;;;214
16;De Buis van Eustachius ;1;27;24;26;22;20;24;27;13;19;;;;202
17;Barbara Spreidstand ;;21;11;22;15;10;14;20;16;12;;;;141
18;Scary Monsters ;1;30;27;28;27;30;23;28;16;20;;;;229
19;The Holly's ;1;29;26;27;22;27;27;28;6;20;;;;212
20;KIPZ ;1;25;21;24;24;19;23;25;12;14;;;;187
21;De Popingers ;1;26;22;25;25;25;22;27;13;18;;;;203
22;Hooray For Boobies ;;25;14;17;18;14;12;21;18;15;;;;154
23;Ron Jeremy Fanclub ;;21;15;21;15;18;19;18;14;14;;;;155
24;Lou reed in velo ;1;25;24;23;22;18;17;25;13;16;;;;183
25;Ne Pas De Stoel ;;19;9;16;6;9;10;15;12;9;;;;105
26;Agera Events ;;11;13;12;9;7;10;14;12;11;;;;99
27;Green Onions ;1;25;19;23;25;24;23;24;14;14;;;;191
28;Die Schmetterlinge ;;22;12;24;17;15;17;23;17;11;;;;158
29;De Plankierkaarters ;;25;21;25;19;14;22;27;16;17;;;;186
30;Mustafa Ndoage ;;20;14;24;19;18;15;25;17;14;;;;166
31;Les Patrick Bruels ;;23;18;22;14;14;13;20;18;9;;;;151
32;Nainggolan ;;20;18;19;21;21;20;23;15;13;;;;170
33;De Vleesgeworden Genialiteit en Aanverwante ;;25;18;20;18;23;18;24;15;15;;;;176
34;De Stimpy's ;1;29;26;26;27;24;23;29;16;15;;;;215
35;Testedoene ;1;28;22;24;23;25;22;21;10;17;;;;192
36;Absolute Beginners ;;23;15;18;17;20;17;17;10;16;;;;153
37;Flying Foxes ;;24;13;19;15;22;13;22;15;14;;;;157
38;Mizzfonky & the Paranoiacs ;;0;0;0;0;0;0;0;0;0;;;;0
39;Sympathie vur den Duvel ;1;29;26;28;26;26;26;27;12;18;;;;218
40;Garnizoen! ;1;28;26;25;23;26;22;25;15;14;;;;204
41;City Trash ;;22;17;24;16;19;15;23;18;15;;;;169
42;VZW Alarm ;;18;8;13;10;7;14;18;14;8;;;;110
43;Chop Soy ;;19;16;17;18;16;16;22;18;15;;;;157
44;Nine Inch Male ;;20;11;11;18;6;17;14;11;11;;;;119
45;Bloody Well Right ;;11;22;21;19;20;11;14;12;13;;;;143
46;FAQ DADDE ;;12;12;12;8;5;8;17;18;13;;;;105
47;The Bloodhound Gang Of Four ;;24;12;21;17;13;19;18;18;15;;;;157
48;Jan, Piet, Joris en Sam Gooris ;1;30;28;26;27;26;25;28;15;18;;;;223
49;De Stijlpaardroggen ;;9;12;20;14;5;9;15;12;16;;;;112
50;Team Destroy ;;18;11;13;14;13;14;24;16;15;;;;138
51;Rock Rules ;;13;13;11;14;10;12;13;13;14;;;;113
52;The return of the Dolly Dots dot com ;;11;17;20;16;13;12;14;11;15;;;;129
53;Alles Of Niets ;;19;13;12;12;8;9;19;14;10;;;;116
54;De Piazadora's ;;18;22;20;23;21;23;24;13;16;;;;180
55;De Poppers ;;17;12;17;16;11;11;8;15;13;;;;120
56;Het Directieteam ;;25;17;21;20;23;22;26;14;14;;;;182
57;Cevisten ;;25;23;20;17;18;16;18;14;18;;;;169
58;Chou and the Bollywood Havanas;;14;16;18;14;6;15;18;16;11;;;;128
59;All Small Petes;;24;21;23;26;26;20;22;14;14;;;;190
60;Spotless Giraffes ;;5;5;15;6;1;8;14;11;10;;;;75
61;Niveau Nihil ;;9;9;12;7;5;7;8;15;9;;;;81
62;De Daisybelzen ;;19;19;20;22;22;19;22;13;16;;;;172
63;De Bende Van Twijfel ;;15;6;10;12;5;9;14;15;11;;;;97
64;Vendredi Sport ;;17;10;16;13;9;14;15;13;9;;;;116
65;Formerly Known As The Long Necked Nightingales ;;19;15;22;18;13;21;15;16;14;;;;153
