NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;;30;30;30;30;30;30;30;20;30;30;30;20;120
1;MeTeA ;;25;24;24;24;;;;;;;;;97
2;Paris Hilton Lookalikes ;1;29;26;28;26;;;;;;;;;109
3;Asibille O ;;22;15;20;14;;;;;;;;;71
4;Goe Vur In Den Otto ;;26;17;19;20;;;;;;;;;82
5;Valse Toon ;;12;6;10;8;;;;;;;;;36
6;De Vierkante Meter ;;23;13;18;16;;;;;;;;;70
7;Dilly Boys ;;22;8;22;19;;;;;;;;;71
8;Tequila Overdrive ;1;29;25;25;27;;;;;;;;;106
9;The 4 sLEEpless horsemen of the apocalypse ;1;26;27;26;26;;;;;;;;;105
10;"A Tribe Called ""Wuk Est?"" ";1;27;24;25;24;;;;;;;;;100
11;Los Locos ;1;26;28;28;28;;;;;;;;;110
12;Rock Monsieur ;1;27;25;26;24;;;;;;;;;102
13;Goedkoop Zat in 't Halve Maantje ;1;26;18;26;24;;;;;;;;;94
14;Bruce Horny & The Rest ;1;28;23;28;26;;;;;;;;;105
15;Martha Wainwrong Ain't Right ;1;30;25;24;27;;;;;;;;;106
16;De Buis van Eustachius ;1;27;24;26;22;;;;;;;;;99
17;Barbara Spreidstand ;;21;11;22;15;;;;;;;;;69
18;Scary Monsters ;1;30;27;28;27;;;;;;;;;112
19;The Holly's ;1;29;26;27;22;;;;;;;;;104
20;KIPZ ;1;25;21;24;24;;;;;;;;;94
21;De Popingers ;1;26;22;25;25;;;;;;;;;98
22;Hooray For Boobies ;;25;14;17;18;;;;;;;;;74
23;Ron Jeremy Fanclub ;;21;15;21;15;;;;;;;;;72
24;Lou reed in velo ;1;25;24;23;22;;;;;;;;;94
25;Ne Pas De Stoel ;;19;9;16;6;;;;;;;;;50
26;Agera Events ;;11;13;12;9;;;;;;;;;45
27;Green Onions ;1;25;19;23;25;;;;;;;;;92
28;Die Schmetterlinge ;;22;12;24;17;;;;;;;;;75
29;De Plankierkaarters ;;25;21;25;19;;;;;;;;;90
30;Mustafa Ndoage ;;20;14;24;19;;;;;;;;;77
31;Les Patrick Bruels ;;23;18;22;14;;;;;;;;;77
32;Nainggolan ;;20;18;19;21;;;;;;;;;78
33;De Vleesgeworden Genialiteit en Aanverwante ;;25;18;20;18;;;;;;;;;81
34;De Stimpy's ;1;29;26;26;27;;;;;;;;;108
35;Testedoene ;1;28;22;24;23;;;;;;;;;97
36;Absolute Beginners ;;23;15;18;17;;;;;;;;;73
37;Flying Foxes ;;24;13;19;15;;;;;;;;;71
38;Mizzfonky & the Paranoiacs ;;0;0;0;0;;;;;;;;;0
39;Sympathie vur den Duvel ;1;29;26;28;26;;;;;;;;;109
40;Garnizoen! ;1;28;26;25;23;;;;;;;;;102
41;City Trash ;;22;17;24;16;;;;;;;;;79
42;VZW Alarm ;;18;8;13;10;;;;;;;;;49
43;Chop Soy ;;19;16;17;18;;;;;;;;;70
44;Nine Inch Male ;;20;11;11;18;;;;;;;;;60
45;Bloody Well Right ;;11;22;21;19;;;;;;;;;73
46;FAQ DADDE ;;12;12;12;8;;;;;;;;;44
47;The Bloodhound Gang Of Four ;;24;12;21;17;;;;;;;;;74
48;Jan, Piet, Joris en Sam Gooris ;1;30;28;26;27;;;;;;;;;111
49;De Stijlpaardroggen ;;9;12;20;14;;;;;;;;;55
50;Team Destroy ;;18;11;13;14;;;;;;;;;56
51;Rock Rules ;;13;13;11;14;;;;;;;;;51
52;The return of the Dolly Dots dot com ;;11;17;20;16;;;;;;;;;64
53;Alles Of Niets ;;19;13;12;12;;;;;;;;;56
54;De Piazadora's ;;18;22;20;23;;;;;;;;;83
55;De Poppers ;;17;12;17;16;;;;;;;;;62
56;Het Directieteam ;;25;17;21;20;;;;;;;;;83
57;Cevisten ;;25;23;20;17;;;;;;;;;85
58;Chou and the Bollywood Havanas;;14;16;18;14;;;;;;;;;62
59;All Small Petes;;24;21;23;26;;;;;;;;;94
60;Spotless Giraffes ;;5;5;15;6;;;;;;;;;31
61;Niveau Nihil ;;9;9;12;7;;;;;;;;;37
62;De Daisybelzen ;;19;19;20;22;;;;;;;;;80
63;De Bende Van Twijfel ;;15;6;10;12;;;;;;;;;43
64;Vendredi Sport ;;17;10;16;13;;;;;;;;;56
65;Formerly Known As The Long Necked Nightingales ;;19;15;22;18;;;;;;;;;74
