NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;;30;30;30;30;30;30;30;20;30;30;30;20;210
1;METEA;;25;24;24;24;24;22;25;;;;;;168
2;Paris Hilton Lookalikes ;1;29;26;28;26;28;24;30;;;;;;191
3;Asibille O ;;22;15;20;14;11;13;20;;;;;;115
4;Goe Vur In Den Otto ;;26;17;19;20;17;15;22;;;;;;136
5;Valse Toon ;;12;6;10;8;9;9;7;;;;;;61
6;De Vierkante Meter ;;23;13;18;16;13;15;9;;;;;;107
7;Dilly Boys ;;22;8;22;19;20;17;17;;;;;;125
8;Tequila Overdrive ;1;29;25;25;27;29;27;30;;;;;;192
9;The 4 sLEEpless horsemen of the apocalypse ;1;26;27;26;26;28;25;28;;;;;;186
10;"A Tribe Called ""Wuk Est?"" ";1;27;24;25;24;29;22;28;;;;;;179
11;Los Locos ;1;26;28;28;28;26;25;28;;;;;;189
12;Rock Monsieur ;1;27;25;26;24;25;23;26;;;;;;176
13;Goedkoop Zat in 't Halve Maantje ;1;26;18;26;24;25;22;26;;;;;;167
14;Bruce Horny & The Rest ;1;28;23;28;26;27;25;27;;;;;;184
15;Martha Wainwrong Ain't Right ;1;30;25;24;27;29;23;28;;;;;;186
16;De Buis van Eustachius ;1;27;24;26;22;20;24;27;;;;;;170
17;Barbara Spreidstand ;;21;11;22;15;10;14;20;;;;;;113
18;Scary Monsters ;1;30;27;28;27;30;23;28;;;;;;193
19;The Holly's ;1;29;26;27;22;27;27;28;;;;;;186
20;KIPZ ;1;25;21;24;24;19;23;25;;;;;;161
21;De Popingers ;1;26;22;25;25;25;22;27;;;;;;172
22;Hooray For Boobies ;;25;14;17;18;14;12;21;;;;;;121
23;Ron Jeremy Fanclub ;;21;15;21;15;18;19;18;;;;;;127
24;Lou reed in velo ;1;25;24;23;22;18;17;25;;;;;;154
25;Ne Pas De Stoel ;;19;9;16;6;9;10;15;;;;;;84
26;Agera Events ;;11;13;12;9;7;10;14;;;;;;76
27;Green Onions ;1;25;19;23;25;24;23;24;;;;;;163
28;Die Schmetterlinge ;;22;12;24;17;15;17;23;;;;;;130
29;De Plankierkaarters ;;25;21;25;19;14;22;27;;;;;;153
30;Mustafa Ndoage ;;20;14;24;19;18;15;25;;;;;;135
31;Les Patrick Bruels ;;23;18;22;14;14;13;20;;;;;;124
32;Nainggolan ;;20;18;19;21;21;20;23;;;;;;142
33;De Vleesgeworden Genialiteit en Aanverwante ;;25;18;20;18;23;18;24;;;;;;146
34;De Stimpy's ;1;29;26;26;27;24;23;29;;;;;;184
35;Testedoene ;1;28;22;24;23;25;22;21;;;;;;165
36;Absolute Beginners ;;23;15;18;17;20;16;17;;;;;;126
37;Flying Foxes ;;24;13;19;15;22;13;22;;;;;;128
38;Mizzfonky & the Paranoiacs ;;0;0;0;0;0;0;0;;;;;;0
39;Sympathie vur den Duvel ;1;29;26;28;26;26;26;27;;;;;;188
40;Garnizoen! ;1;28;26;25;23;26;22;25;;;;;;175
41;City Trash ;;22;17;24;16;19;15;23;;;;;;136
42;VZW Alarm ;;18;8;13;10;7;14;18;;;;;;88
43;Chop Soy ;;19;16;17;18;16;16;22;;;;;;124
44;Nine Inch Male ;;20;11;11;18;6;17;14;;;;;;97
45;Bloody Well Right ;;11;22;21;19;20;11;14;;;;;;118
46;FAQ DADDE ;;12;12;12;8;5;8;17;;;;;;74
47;The Bloodhound Gang Of Four ;;24;12;21;17;13;19;18;;;;;;124
48;Jan, Piet, Joris en Sam Gooris ;1;30;28;26;27;26;25;28;;;;;;190
49;De Stijlpaardroggen ;;9;12;20;14;5;9;15;;;;;;84
50;Team Destroy ;;18;11;13;14;13;14;24;;;;;;107
51;Rock Rules ;;13;13;11;14;10;12;13;;;;;;86
52;The return of the Dolly Dots dot com ;;11;17;20;16;13;12;14;;;;;;103
53;Alles Of Niets ;;19;13;12;12;8;9;19;;;;;;92
54;De Piazadora's ;;18;22;20;23;21;23;24;;;;;;151
55;De Poppers ;;17;12;17;16;11;11;8;;;;;;92
56;Het Directieteam ;;25;17;21;20;23;22;26;;;;;;154
57;Cevisten ;;25;23;20;17;18;16;18;;;;;;137
58;Chou and the Bollywood Havanas;;14;16;18;14;6;15;18;;;;;;101
59;All Small Petes;;24;21;23;26;26;20;22;;;;;;162
60;Spotless Giraffes ;;5;5;15;6;1;8;14;;;;;;54
61;Niveau Nihil ;;9;9;12;7;5;7;8;;;;;;57
62;De Daisybelzen ;;19;19;20;22;22;19;22;;;;;;143
63;De Bende Van Twijfel ;;15;6;10;12;5;9;14;;;;;;71
64;Vendredi Sport ;;17;10;16;13;9;14;15;;;;;;94
65;Formerly Known As The Long Necked Nightingales ;;19;15;22;18;13;21;15;;;;;;123
