NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;;30;30;40;30;45;30;30;30;30;30;30;30;150
1;De bevroren aperitiefhapjes;0;18;;;;;;;;;;;;
2;De Stijlpaardroggen;0;17;;;;;;;;;;;;
3;Het Negende;0;18;;;;;;;;;;;;
4;Lou Reed in velo;1;25;;;;;;;;;;;;
5;Los Locos;1;27;;;;;;;;;;;;
6;Nog Locos;1;26;;;;;;;;;;;;
7;Kriek Max;0;23;;;;;;;;;;;;
8;Greatest Tits;1;29;;;;;;;;;;;;
9;Directieteam;0;24;;;;;;;;;;;;
10;The 4 sLEEpless horsemen of the apocalypse;1;29;;;;;;;;;;;;
11;The Pale Riders From Philadelphia;1;29;;;;;;;;;;;;
12;Paris Hilton Lookalikes;1;29;;;;;;;;;;;;
13;In Extremis;0;13;;;;;;;;;;;;
14;Starbuk & Apollo;1;27;;;;;;;;;;;;
15;Formerly known as RJFC;0;22;;;;;;;;;;;;
16;Die Schmetterlinge;0;17;;;;;;;;;;;;
17;De buis van Eustachius;1;29;;;;;;;;;;;;
18;Country Trash;0;13;;;;;;;;;;;;
19;Garnizoen!;0;25;;;;;;;;;;;;
20;De vierkante meter;0;17;;;;;;;;;;;;
21;Goedkoop Zat In 't Halve Maantje;1;24;;;;;;;;;;;;
22;Charlotte Mocht Nog Eens Mee;0;27;;;;;;;;;;;;
23;Jan, Piet, Joris en Sam Gooris;1;26;;;;;;;;;;;;
24;Team Kimchiiii;0;16;;;;;;;;;;;;
25;Zottegem Blues;0;18;;;;;;;;;;;;
26;Conner Niopkomen;0;19;;;;;;;;;;;;
27;De Floyds;0;15;;;;;;;;;;;;
28;Scary Monsters;1;27;;;;;;;;;;;;
29;Zazawie;0;23;;;;;;;;;;;;
30;Team Smartacus;0;13;;;;;;;;;;;;
31;Barbara Spreidstand;0;17;;;;;;;;;;;;
32;Popingers;1;26;;;;;;;;;;;;
33;Ramenlikkers;0;15;;;;;;;;;;;;
34;Whores with no name;0;19;;;;;;;;;;;;
35;No use for a name;0;18;;;;;;;;;;;;
36;Judas Piest;0;12;;;;;;;;;;;;
37;Team Dink;0;20;;;;;;;;;;;;
38;Binnen 40 jaar komen we terug om te winnen;0;18;;;;;;;;;;;;
39;Rode BMW staat fout geparkeerd;0;13;;;;;;;;;;;;
40;Gilly De Wieter;0;27;;;;;;;;;;;;
41;1912 Titanic Swim Team;0;18;;;;;;;;;;;;
42;Green Onions;1;27;;;;;;;;;;;;
43;Michiels Crew;0;14;;;;;;;;;;;;
44;Rock Monsieur;1;28;;;;;;;;;;;;
45;K4;0;18;;;;;;;;;;;;
46;Testedoene;1;26;;;;;;;;;;;;
47;Pluttbugs;0;20;;;;;;;;;;;;
48;Cevisten;0;14;;;;;;;;;;;;
49;Tequila Overdrive;1;28;;;;;;;;;;;;
50;Flying Foxes;0;20;;;;;;;;;;;;
51;Op hoop van zegen;0;19;;;;;;;;;;;;
52;De Vierde Man;0;18;;;;;;;;;;;;
53;Never Gonna Quiz You Up;0;16;;;;;;;;;;;;
54;De Sexpistolets;0;13;;;;;;;;;;;;
55;No ID;1;29;;;;;;;;;;;;
56;METEA;0;21;;;;;;;;;;;;
57;Quizzers In Crime;0;25;;;;;;;;;;;;
58;Pol Van Mietsies Giete;0;19;;;;;;;;;;;;
59;King Quizard and the Quizard Quizard;0;22;;;;;;;;;;;;
60;De plankierkaarters;0;21;;;;;;;;;;;;
61;The Silver Foxes;0;18;;;;;;;;;;;;
62;The Oldies;0;9;;;;;;;;;;;;
63;The Pimped Shrimps;0;23;;;;;;;;;;;;
64;Fed With the Papspoon;1;28;;;;;;;;;;;;
65;Tennessee Quiskey;0;15;;;;;;;;;;;;
66;Schnippel Schnappel;0;11;;;;;;;;;;;;
67;Qwisted;0;18;;;;;;;;;;;;
