NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;;30;30;40;30;45;30;30;30;30;30;30;30;60
1;De bevroren aperitiefhapjes;0;18;19;;;;;;;;;;;37
2;De Stijlpaardroggen;0;17;13;;;;;;;;;;;30
3;Het Negende;0;18;16;;;;;;;;;;;34
4;Lou Reed in velo;1;25;28;;;;;;;;;;;53
5;Los Locos;1;27;27;;;;;;;;;;;54
6;Nog Locos;1;26;23;;;;;;;;;;;49
7;Kriek Max;0;23;27;;;;;;;;;;;50
8;Greatest Tits;1;29;30;;;;;;;;;;;59
9;Directieteam;0;24;24;;;;;;;;;;;48
10;The 4 sLEEpless horsemen of the apocalypse;1;29;28;;;;;;;;;;;57
11;The Pale Riders From Philadelphia;1;29;27;;;;;;;;;;;56
12;Paris Hilton Lookalikes;1;29;24;;;;;;;;;;;53
13;In Extremis;0;13;16;;;;;;;;;;;29
14;Starbuk & Apollo;1;27;26;;;;;;;;;;;53
15;Formerly known as RJFC;0;22;20;;;;;;;;;;;42
16;Die Schmetterlinge;0;17;17;;;;;;;;;;;34
17;De buis van Eustachius;1;29;30;;;;;;;;;;;59
18;Country Trash;0;13;16;;;;;;;;;;;29
19;Garnizoen!;0;25;23;;;;;;;;;;;48
20;De vierkante meter;0;17;14;;;;;;;;;;;31
21;Goedkoop Zat In 't Halve Maantje;1;24;25;;;;;;;;;;;49
22;Charlotte Mocht Nog Eens Mee;0;27;21;;;;;;;;;;;48
23;Jan, Piet, Joris en Sam Gooris;1;26;27;;;;;;;;;;;53
24;Team Kimchiiii;0;16;16;;;;;;;;;;;32
25;Zottegem Blues;0;18;22;;;;;;;;;;;40
26;Conner Niopkomen;0;19;16;;;;;;;;;;;35
27;De Floyds;0;15;17;;;;;;;;;;;32
28;Scary Monsters;1;27;30;;;;;;;;;;;57
29;Zazawie;0;23;22;;;;;;;;;;;45
30;Team Smartacus;0;13;11;;;;;;;;;;;24
31;Barbara Spreidstand;0;17;16;;;;;;;;;;;33
32;Popingers;1;26;24;;;;;;;;;;;50
33;Ramenlikkers;0;15;13;;;;;;;;;;;28
34;Whores with no name;0;19;20;;;;;;;;;;;39
35;No use for a name;0;18;15;;;;;;;;;;;33
36;Judas Piest;0;12;12;;;;;;;;;;;24
37;Team Dink;0;20;22;;;;;;;;;;;42
38;Binnen 40 jaar komen we terug om te winnen;0;18;17;;;;;;;;;;;35
39;Rode BMW staat fout geparkeerd;0;13;10;;;;;;;;;;;23
40;Gilly De Wieter;0;27;18;;;;;;;;;;;45
41;1912 Titanic Swim Team;0;18;13;;;;;;;;;;;31
42;Green Onions;1;27;22;;;;;;;;;;;49
43;Michiels Crew;0;14;18;;;;;;;;;;;32
44;Rock Monsieur;1;28;25;;;;;;;;;;;53
45;K4;0;18;21;;;;;;;;;;;39
46;Testedoene;1;26;22;;;;;;;;;;;48
47;Pluttbugs;0;20;22;;;;;;;;;;;42
48;Cevisten;0;14;17;;;;;;;;;;;31
49;Tequila Overdrive;1;28;28;;;;;;;;;;;56
50;Flying Foxes;0;20;16;;;;;;;;;;;36
51;Op hoop van zegen;0;19;21;;;;;;;;;;;40
52;De Vierde Man;0;18;18;;;;;;;;;;;36
53;Never Gonna Quiz You Up;0;16;16;;;;;;;;;;;32
54;De Sexpistolets;0;13;10;;;;;;;;;;;23
55;No ID;1;29;23;;;;;;;;;;;52
56;METEA;0;21;19;;;;;;;;;;;40
57;Quizzers In Crime;0;25;23;;;;;;;;;;;48
58;Pol Van Mietsies Giete;0;19;20;;;;;;;;;;;39
59;King Quizard and the Quizard Quizard;0;22;19;;;;;;;;;;;41
60;De plankierkaarters;0;21;23;;;;;;;;;;;44
61;The Silver Foxes;0;18;11;;;;;;;;;;;29
62;The Oldies;0;9;8;;;;;;;;;;;17
63;The Pimped Shrimps;0;23;18;;;;;;;;;;;41
64;Fed With the Papspoon;1;28;29;;;;;;;;;;;57
65;Tennessee Quiskey;0;15;18;;;;;;;;;;;33
66;Schnippel Schnappel;0;11;18;;;;;;;;;;;29
67;Qwisted;0;18;11;;;;;;;;;;;29
