NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;;30;30;40;30;45;30;30;45;30;30;30;30;400
1;De bevroren aperitiefhapjes;0;18;19;34;17;27;20;15;31;24;15;15;17;252
2;De Stijlpaardroggen;0;17;13;22;13;14;21;13;25;24;17;15;16;210
3;Het Negende;0;18;16;32;22;19;19;19;29;20;20;23;21;258
4;Lou Reed in velo;1;25;28;30;27;28;24;25;43;21;24;26;26;327
5;Los Locos;1;27;27;36;24;39;28;26;44;28;25;24;27;355
6;Nog Locos;1;26;23;35;26;32;25;23;34;28;27;26;23;328
7;Kriek Max;0;23;27;34;27;33;25;27;42;28;25;27;22;340
8;Greatest Tits;1;29;30;39;29;42;28;27;43;28;25;30;30;380
9;Directieteam;0;24;24;34;27;34;23;20;37;29;24;26;27;329
10;The 4 sLEEpless horsemen of the apocalypse;1;29;28;38;29;41;28;29;45;29;27;28;29;380
11;The Pale Riders From Philadelphia;1;29;27;40;28;39;26;28;41;29;27;29;28;371
12;Paris Hilton Lookalikes;1;29;24;40;28;42;25;28;43;29;28;30;30;376
13;In Extremis;0;13;16;28;14;23;15;16;29;24;15;25;17;235
14;Starbuk & Apollo;1;27;26;38;22;39;25;26;39;28;26;20;27;343
15;Formerly known as RJFC;0;22;20;29;23;27;24;20;41;29;25;25;22;307
16;Die Schmetterlinge;0;17;17;26;23;24;15;13;30;27;20;23;23;258
17;De buis van Eustachius;1;29;30;37;30;39;27;26;43;30;29;30;30;380
18;Country Trash;0;13;16;26;13;17;17;13;23;25;20;13;21;217
19;Garnizoen!;0;25;23;38;29;39;24;26;41;29;19;25;27;345
20;De vierkante meter;0;17;14;26;20;26;19;11;31;21;14;8;15;222
21;Goedkoop Zat In 't Halve Maantje;1;24;25;33;29;31;23;21;41;26;23;26;20;322
22;Charlotte Mocht Nog Eens Mee;0;27;21;33;27;27;24;18;34;24;20;24;23;302
23;Jan, Piet, Joris en Sam Gooris;1;26;27;40;28;41;26;29;44;29;26;30;25;371
24;Team Kimchiiii;0;16;16;28;17;19;18;15;27;20;18;21;20;235
25;Zottegem Blues;0;18;22;33;20;32;19;18;33;25;20;19;19;278
26;Conner Niopkomen;0;19;16;23;18;22;18;13;31;25;11;19;17;232
27;De Floyds;0;15;17;25;18;15;15;13;21;19;17;15;15;205
28;Scary Monsters;1;27;30;40;27;40;29;26;42;28;26;30;27;372
29;Zazawie;0;23;22;35;22;32;23;22;36;20;21;19;23;298
30;Team Smartacus;0;13;11;28;14;16;20;13;24;16;15;22;17;209
31;Barbara Spreidstand;0;17;16;28;21;25;16;11;26;27;17;19;16;239
32;Popingers;1;26;24;33;24;39;25;23;39;26;22;26;27;334
33;Ramenlikkers;0;15;13;27;19;16;14;9;27;20;15;17;14;206
34;Whores with no name;0;19;20;26;21;29;23;17;27;25;23;24;22;276
35;No use for a name;0;18;15;30;22;22;16;16;30;20;22;21;22;254
36;Judas Piest;0;12;12;24;20;12;15;16;27;23;18;18;23;220
37;Team Dink;0;20;22;32;20;31;23;17;29;24;20;27;23;288
38;Binnen 40 jaar komen we terug om te winnen;0;18;17;26;17;20;18;12;26;20;21;16;21;232
39;Rode BMW staat fout geparkeerd;0;13;10;22;21;24;19;11;26;20;17;21;22;226
40;Gilly De Wieter;0;27;18;33;25;36;21;23;42;23;22;24;26;320
41;1912 Titanic Swim Team;0;18;13;29;14;21;22;13;28;23;19;23;22;245
