NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;;30;30;40;30;45;30;30;30;30;30;30;30;130
1;De bevroren aperitiefhapjes;0;18;19;34;17;;;;;;;;;88
2;De Stijlpaardroggen;0;17;13;22;13;;;;;;;;;65
3;Het Negende;0;18;16;32;22;;;;;;;;;88
4;Lou Reed in velo;1;25;28;30;27;;;;;;;;;110
5;Los Locos;1;27;27;36;24;;;;;;;;;114
6;Nog Locos;1;26;23;35;26;;;;;;;;;110
7;Kriek Max;0;23;27;34;27;;;;;;;;;111
8;Greatest Tits;1;29;30;39;29;;;;;;;;;127
9;Directieteam;0;24;24;34;27;;;;;;;;;109
10;The 4 sLEEpless horsemen of the apocalypse;1;29;28;38;29;;;;;;;;;124
11;The Pale Riders From Philadelphia;1;29;27;40;27;;;;;;;;;123
12;Paris Hilton Lookalikes;1;29;24;40;28;;;;;;;;;121
13;In Extremis;0;13;16;28;14;;;;;;;;;71
14;Starbuk & Apollo;1;27;26;38;22;;;;;;;;;113
15;Formerly known as RJFC;0;22;20;29;23;;;;;;;;;94
16;Die Schmetterlinge;0;17;17;26;23;;;;;;;;;83
17;De buis van Eustachius;1;29;30;37;30;;;;;;;;;126
18;Country Trash;0;13;16;26;13;;;;;;;;;68
19;Garnizoen!;0;25;23;38;29;;;;;;;;;115
20;De vierkante meter;0;17;14;26;20;;;;;;;;;77
21;Goedkoop Zat In 't Halve Maantje;1;24;25;33;29;;;;;;;;;111
22;Charlotte Mocht Nog Eens Mee;0;27;21;33;27;;;;;;;;;108
23;Jan, Piet, Joris en Sam Gooris;1;26;27;40;28;;;;;;;;;121
24;Team Kimchiiii;0;16;16;28;17;;;;;;;;;77
25;Zottegem Blues;0;18;22;33;20;;;;;;;;;93
26;Conner Niopkomen;0;19;16;23;18;;;;;;;;;76
27;De Floyds;0;15;17;25;18;;;;;;;;;75
28;Scary Monsters;1;27;30;40;27;;;;;;;;;124
29;Zazawie;0;23;22;35;22;;;;;;;;;102
30;Team Smartacus;0;13;11;28;14;;;;;;;;;66
31;Barbara Spreidstand;0;17;16;28;21;;;;;;;;;82
32;Popingers;1;26;24;33;24;;;;;;;;;107
33;Ramenlikkers;0;15;13;27;19;;;;;;;;;74
34;Whores with no name;0;19;20;26;21;;;;;;;;;86
35;No use for a name;0;18;15;30;22;;;;;;;;;85
36;Judas Piest;0;12;12;24;20;;;;;;;;;68
37;Team Dink;0;20;22;32;20;;;;;;;;;94
38;Binnen 40 jaar komen we terug om te winnen;0;18;17;26;17;;;;;;;;;78
39;Rode BMW staat fout geparkeerd;0;13;10;22;21;;;;;;;;;66
40;Gilly De Wieter;0;27;18;33;25;;;;;;;;;103
41;1912 Titanic Swim Team;0;18;13;29;14;;;;;;;;;74
42;Green Onions;1;27;22;27;25;;;;;;;;;101
43;Michiels Crew;0;14;18;28;29;;;;;;;;;89
44;Rock Monsieur;1;28;25;37;28;;;;;;;;;118
45;K4;0;18;21;29;27;;;;;;;;;95
46;Testedoene;1;26;22;27;23;;;;;;;;;98
47;Pluttbugs;0;20;22;26;21;;;;;;;;;89
48;Cevisten;0;14;17;28;15;;;;;;;;;74
49;Tequila Overdrive;1;28;28;37;28;;;;;;;;;121
50;Flying Foxes;0;20;16;25;20;;;;;;;;;81
51;Op hoop van zegen;0;19;21;28;25;;;;;;;;;93
52;De Vierde Man;0;18;18;27;26;;;;;;;;;89
53;Never Gonna Quiz You Up;0;16;16;29;21;;;;;;;;;82
54;De Sexpistolets;0;13;10;26;27;;;;;;;;;76
55;No ID;1;29;23;38;24;;;;;;;;;114
56;METEA;0;21;19;31;20;;;;;;;;;91
57;Quizzers In Crime;0;25;23;30;26;;;;;;;;;104
58;Pol Van Mietsies Giete;0;19;20;24;26;;;;;;;;;89
59;King Quizard and the Quizard Quizard;0;22;19;21;27;;;;;;;;;89
60;De plankierkaarters;0;21;23;34;23;;;;;;;;;101
61;The Silver Foxes;0;18;11;21;10;;;;;;;;;60
62;The Oldies;0;9;8;20;14;;;;;;;;;51
63;The Pimped Shrimps;0;23;18;33;21;;;;;;;;;95
64;Fed With the Papspoon;1;28;29;39;28;;;;;;;;;124
65;Tennessee Quiskey;0;15;18;25;18;;;;;;;;;76
66;Schnippel Schnappel;0;11;18;29;21;;;;;;;;;79
67;Qwisted;0;18;11;28;17;;;;;;;;;74
